Xcel Brands Price to Free Cash Flow Ratio Historical Data,Xcel Brands Price to Free Cash Flow Ratio Historical Data,Xcel Brands Price to Free Cash Flow Ratio Historical Data,Xcel Brands Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.29,,0.0
2024-09-30,0.75,$-0.34,0.0
2024-06-30,0.59,$-0.38,0.0
2024-03-31,0.78,$-0.29,0.0
2023-12-31,1.29,$-0.31,0.0
2023-09-30,1.05,$-0.29,0.0
2023-06-30,1.75,$-0.35,0.0
2023-03-31,0.61,$-0.84,0.0
2022-12-31,0.7,$-0.74,0.0
2022-09-30,0.95,$-0.63,0.0
2022-06-30,1.18,$-0.50,0.0
2022-03-31,1.49,$-0.34,0.0
2021-12-31,1.09,$-0.39,0.0
2021-09-30,1.49,$-0.29,0.0
2021-06-30,2.99,$-0.30,0.0
2021-03-31,1.99,$0.04,47.16
2020-12-31,1.21,$0.13,9.31
2020-09-30,0.77,$0.10,8.0
2020-06-30,0.89,$0.14,6.28
2020-03-31,0.61,$0.06,10.37
2019-12-31,1.5,$0.13,11.95
2019-09-30,1.93,$0.19,10.04
2019-06-30,1.45,$0.31,4.73
2019-03-31,1.7,$0.30,5.61
2018-12-31,1.13,$0.28,4.04
2018-09-30,2.35,$0.32,7.24
2018-06-30,2.35,$0.27,8.55
2018-03-31,3.2,$0.33,9.67
2017-12-31,3.3,$0.24,13.66
2017-09-30,3.7,$0.16,22.81
2017-06-30,3.05,$0.28,10.72
2017-03-31,2.7,$0.32,8.32
2016-12-31,4.4,$0.30,14.56
2016-09-30,4.99,$0.34,14.49
2016-06-30,5.03,$0.19,26.02
