Delek US Holdings Price to Free Cash Flow Ratio Historical Data,Delek US Holdings Price to Free Cash Flow Ratio Historical Data,Delek US Holdings Price to Free Cash Flow Ratio Historical Data,Delek US Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,17.45,,0.0
2024-12-31,18.5,$-7.58,0.0
2024-09-30,18.49,$-1.73,0.0
2024-06-30,24.13,$6.20,3.89
2024-03-31,29.69,$8.66,3.43
2023-12-31,24.68,$9.53,2.59
2023-09-30,26.92,$3.88,6.94
2023-06-30,22.51,$-1.55,0.0
2023-03-31,21.35,$4.78,4.46
2022-12-31,24.88,$2.03,12.25
2022-09-30,24.86,$8.77,2.84
2022-06-30,23.31,$8.82,2.64
2022-03-31,19.14,$3.27,5.85
2021-12-31,13.52,$2.18,6.21
2021-09-30,16.21,$1.99,8.14
2021-06-30,19.5,$0.22,89.7
2021-03-31,19.65,$-3.95,0.0
2020-12-31,14.5,$-7.50,0.0
2020-09-30,10.04,$-8.57,0.0
2020-06-30,15.41,$-6.05,0.0
2020-03-31,13.74,$-2.78,0.0
2019-12-31,28.52,$2.03,14.06
2019-09-30,30.62,$5.00,6.12
2019-06-30,33.86,$6.50,5.21
2019-03-31,30.2,$6.19,4.88
2018-12-31,26.76,$2.87,9.31
2018-09-30,34.69,$2.25,15.44
2018-06-30,40.82,$0.28,147.46
2018-03-31,32.95,$-0.08,0.0
2017-12-31,28.14,$2.04,13.77
2017-09-30,21.42,$1.31,16.37
2017-06-30,21.04,$-0.29,0.0
2017-03-31,19.2,$1.25,15.38
2016-12-31,18.93,$3.26,5.8
2016-09-30,13.49,$0.95,14.13
2016-06-30,10.22,$2.84,3.6
2016-03-31,11.66,$3.08,3.79
2015-12-31,18.64,$-0.13,0.0
2015-09-30,20.87,$1.75,11.94
2015-06-30,27.61,$0.79,34.98
2015-03-31,29.69,$0.43,68.52
2014-12-31,20.22,$1.83,11.02
2014-09-30,24.36,$-0.07,0.0
2014-06-30,20.67,$-1.50,0.0
2014-03-31,21.02,$-3.72,0.0
2013-12-31,24.71,$-2.00,0.0
2013-09-30,14.99,$0.97,15.44
2013-06-30,20.27,$3.00,6.75
2013-03-31,27.68,$6.01,4.61
2012-12-31,17.6,$5.55,3.17
2012-09-30,17.58,$4.47,3.93
2012-06-30,12.05,$5.52,2.18
2012-03-31,10.54,$-0.15,0.0
2011-12-31,7.73,$0.92,8.38
2011-09-30,7.5,$-0.04,0.0
2011-06-30,10.42,$-2.39,0.0
2011-03-31,8.98,$2.16,4.16
2010-12-31,4.8,$0.41,11.69
2010-09-30,4.7,$-0.26,0.0
2010-06-30,4.76,$0.70,6.79
2010-03-31,4.72,$-0.60,0.0
2009-12-31,4.4,$-0.40,0.0
