Patrick Industries Price to Free Cash Flow Ratio Historical Data,Patrick Industries Price to Free Cash Flow Ratio Historical Data,Patrick Industries Price to Free Cash Flow Ratio Historical Data,Patrick Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,84.51,,11.23
2024-12-31,83.08,$7.52,11.04
2024-09-30,94.51,$8.28,11.42
2024-06-30,71.76,$10.54,6.81
2024-03-31,78.6,$11.85,6.63
2023-12-31,65.69,$10.63,6.18
2023-09-30,48.82,$12.04,4.06
2023-06-30,51.74,$12.60,4.11
2023-03-31,44.25,$9.55,4.63
2022-12-31,38.73,$9.25,4.19
2022-09-30,27.79,$7.15,3.88
2022-06-30,32.68,$4.87,6.71
2022-03-31,37.8,$3.39,11.14
2021-12-31,50.34,$5.35,9.4
2021-09-30,51.75,$4.03,12.85
2021-06-30,45.21,$4.38,10.32
2021-03-31,52.47,$4.58,11.46
2020-12-31,42.05,$3.70,11.35
2020-09-30,35.23,$4.48,7.87
2020-06-30,37.36,$3.38,11.06
2020-03-31,17.09,$4.45,3.84
2019-12-31,31.66,$4.84,6.54
2019-09-30,25.77,$4.77,5.4
2019-06-30,29.56,$4.90,6.03
2019-03-31,27.23,$4.79,5.69
2018-12-31,17.79,$4.72,3.77
2018-09-30,35.58,$4.53,7.85
2018-06-30,34.16,$3.94,8.68
2018-03-31,37.17,$3.02,12.31
2017-12-31,41.74,$2.13,19.62
2017-09-30,33.69,$1.72,19.55
2017-06-30,29.19,$2.30,12.71
2017-03-31,28.4,$1.61,17.7
2016-12-31,30.57,$2.39,12.8
2016-09-30,24.81,$2.29,10.85
2016-06-30,24.15,$1.38,17.45
2016-03-31,18.18,$2.20,8.27
2015-12-31,17.43,$1.69,10.3
2015-09-30,15.82,$1.17,13.53
2015-06-30,15.24,$1.40,10.87
2015-03-31,16.63,$0.79,21.03
2014-12-31,11.75,$1.11,10.63
2014-09-30,11.31,$0.46,24.78
2014-06-30,12.44,$0.46,27.22
2014-03-31,11.84,$0.58,20.49
2013-12-31,7.73,$0.41,19.03
2013-09-30,8.03,$0.59,13.65
2013-06-30,5.55,$0.38,14.57
2013-03-31,4.21,$0.35,12.08
2012-12-31,4.16,$0.37,11.36
2012-09-30,4.13,$0.30,13.56
2012-06-30,3.41,$0.68,5.03
2012-03-31,3.25,$0.28,11.74
2011-12-31,1.1,$0.28,3.96
2011-09-30,0.5,$0.44,1.13
2011-06-30,0.56,$0.26,2.15
2011-03-31,0.73,$0.43,1.71
2010-12-31,0.51,$0.45,1.13
2010-09-30,0.57,$0.41,1.38
2010-06-30,0.49,$0.32,1.53
2010-03-31,0.77,$0.26,2.93
2009-12-31,0.65,$0.17,3.8
