Nature's Sunshine Products Price to Free Cash Flow Ratio Historical Data,Nature's Sunshine Products Price to Free Cash Flow Ratio Historical Data,Nature's Sunshine Products Price to Free Cash Flow Ratio Historical Data,Nature's Sunshine Products Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,12.59,,16.78
2024-12-31,14.66,$0.75,19.53
2024-09-30,13.62,$0.66,20.63
2024-06-30,15.07,$0.76,19.82
2024-03-31,20.77,$1.14,18.2
2023-12-31,17.29,$1.58,10.95
2023-09-30,16.57,$1.18,14.03
2023-06-30,13.65,$0.94,14.45
2023-03-31,10.21,$0.48,21.07
2022-12-31,8.32,$-0.36,0.0
2022-09-30,8.24,$0.22,37.61
2022-06-30,10.67,$0.33,32.57
2022-03-31,16.82,$0.81,20.81
2021-12-31,18.5,$1.38,13.43
2021-09-30,14.65,$1.23,11.89
2021-06-30,17.37,$1.40,12.37
2021-03-31,19.96,$1.10,18.17
2020-12-31,14.17,$1.64,8.64
2020-09-30,10.97,$1.30,8.45
2020-06-30,8.54,$0.99,8.61
2020-03-31,7.71,$1.02,7.54
2019-12-31,8.47,$0.18,48.35
2019-09-30,7.86,$0.42,18.93
2019-06-30,8.81,$0.47,18.65
2019-03-31,8.81,$0.77,11.48
2018-12-31,7.73,$1.15,6.7
2018-09-30,8.3,$0.84,9.85
2018-06-30,8.86,$0.95,9.34
2018-03-31,10.43,$0.53,19.54
2017-12-31,10.95,$0.29,37.3
2017-09-30,9.62,$-0.01,0.0
2017-06-30,12.56,$-0.67,0.0
2017-03-31,9.48,$-0.55,0.0
2016-12-31,14.08,$-0.40,0.0
2016-09-30,14.92,$-0.21,0.0
2016-06-30,8.82,$0.06,141.3
2016-03-31,8.79,$-0.11,0.0
2015-12-31,9.16,$-0.48,0.0
2015-09-30,10.75,$-0.74,0.0
2015-06-30,12.24,$-0.92,0.0
2015-03-31,11.59,$-0.73,0.0
2014-12-31,12.98,$-0.68,0.0
2014-09-30,12.91,$-0.15,0.0
2014-06-30,13.35,$0.27,50.08
2014-03-31,10.76,$0.62,17.4
2013-12-31,13.43,$1.28,10.46
2013-09-30,14.66,$1.59,9.22
2013-06-30,11.56,$1.64,7.05
2013-03-31,10.71,$1.69,6.33
2012-12-31,10.1,$1.25,8.06
2012-09-30,11.36,$1.17,9.74
2012-06-30,10.46,$-0.45,0.0
2012-03-31,11.06,$-0.38,0.0
2011-12-31,10.72,$0.10,112.11
2011-09-30,9.72,$0.01,742.24
2011-06-30,13.45,$1.57,8.55
2011-03-31,6.19,$1.14,5.43
2010-12-31,6.2,$0.87,7.14
2010-09-30,6.17,$0.47,13.17
2010-06-30,5.78,$0.43,13.49
2010-03-31,5.75,$0.04,150.98
