Bay Commercial Bank Price to Free Cash Flow Ratio Historical Data,Bay Commercial Bank Price to Free Cash Flow Ratio Historical Data,Bay Commercial Bank Price to Free Cash Flow Ratio Historical Data,Bay Commercial Bank Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,25.61,,10.07
2024-12-31,26.84,$2.54,10.55
2024-09-30,23.6,$2.40,9.84
2024-06-30,20.16,$1.78,11.32
2024-03-31,20.32,$2.08,9.75
2023-12-31,23.02,$2.38,9.69
2023-09-30,18.66,$3.05,6.12
2023-06-30,16.12,$3.74,4.31
2023-03-31,16.41,$3.38,4.86
2022-12-31,18.14,$2.95,6.14
2022-09-30,16.76,$2.18,7.7
2022-06-30,19.66,$0.95,20.77
2022-03-31,20.65,$1.03,20.11
2021-12-31,17.76,$0.84,21.08
2021-09-30,17.6,$0.71,24.62
2021-06-30,16.99,$1.35,12.6
2021-03-31,17.05,$0.96,17.82
2020-12-31,14.36,$0.62,23.08
2020-09-30,9.75,$0.37,26.69
2020-06-30,12.22,$0.24,50.7
2020-03-31,11.4,$0.54,21.02
2019-12-31,21.52,$0.85,25.29
2019-09-30,21.49,$1.28,16.8
2019-06-30,20.73,$1.08,19.16
2019-03-31,21.43,$0.48,44.58
