Embecta Price to Free Cash Flow Ratio Historical Data,Embecta Price to Free Cash Flow Ratio Historical Data,Embecta Price to Free Cash Flow Ratio Historical Data,Embecta Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,13.23,,26.49
2024-12-31,20.65,$0.50,41.35
2024-09-30,14.1,$0.34,41.32
2024-06-30,12.5,$0.24,52.9
2024-03-31,13.27,$0.16,82.99
2023-12-31,18.93,$-0.53,0.0
2023-09-30,15.05,$0.71,21.1
2023-06-30,21.6,$1.30,16.66
2023-03-31,27.97,$7.40,3.78
