Niu Technologies Price to Free Cash Flow Ratio Historical Data,Niu Technologies Price to Free Cash Flow Ratio Historical Data,Niu Technologies Price to Free Cash Flow Ratio Historical Data,Niu Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.8,,142.86
2024-09-30,2.3,$0.03,86.47
2024-06-30,1.74,$0.03,65.41
2024-03-31,1.68,$0.03,63.16
2023-12-31,2.19,$0.03,82.33
2023-09-30,2.83,$-0.48,0.0
2023-06-30,3.98,$-0.48,0.0
2023-03-31,4.14,$-0.48,0.0
2022-12-31,5.23,$-0.48,0.0
2022-09-30,4.1,$0.09,43.29
2022-06-30,8.6,$0.09,90.81
2022-03-31,9.66,$0.09,102.01
2021-12-31,16.11,$0.09,170.12
2021-09-30,23.17,$0.69,33.72
2021-06-30,32.65,$0.69,47.51
2021-03-31,36.65,$0.69,53.33
2020-12-31,28.05,$0.69,40.82
2020-09-30,19.2,$0.12,158.94
2020-06-30,16.0,$0.12,132.45
2020-03-31,6.97,$0.12,57.7
2019-12-31,8.53,$0.12,70.61
