Esperion Therapeutics Price to Free Cash Flow Ratio Historical Data,Esperion Therapeutics Price to Free Cash Flow Ratio Historical Data,Esperion Therapeutics Price to Free Cash Flow Ratio Historical Data,Esperion Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.62,,0.0
2024-12-31,2.2,$-0.13,0.0
2024-09-30,1.65,$-0.38,0.0
2024-06-30,2.22,$-0.34,0.0
2024-03-31,2.68,$-0.34,0.0
2023-12-31,2.99,$-1.31,0.0
2023-09-30,0.98,$-1.56,0.0
2023-06-30,1.39,$-1.94,0.0
2023-03-31,1.59,$-2.69,0.0
2022-12-31,6.23,$-2.63,0.0
2022-09-30,6.7,$-3.29,0.0
2022-06-30,6.36,$-5.32,0.0
2022-03-31,4.64,$-6.34,0.0
2021-12-31,5.0,$-9.13,0.0
2021-09-30,12.05,$-10.30,0.0
2021-06-30,21.15,$-10.75,0.0
2021-03-31,28.05,$-4.03,0.0
2020-12-31,26.0,$-3.13,0.0
2020-09-30,37.17,$-2.48,0.0
2020-06-30,51.31,$-1.61,0.0
2020-03-31,31.53,$-8.37,0.0
2019-12-31,59.63,$-2.63,0.0
2019-09-30,36.66,$-1.86,0.0
2019-06-30,46.52,$-1.10,0.0
2019-03-31,40.15,$-0.72,0.0
2018-12-31,46.0,$-5.56,0.0
2018-09-30,44.37,$-6.00,0.0
2018-06-30,39.19,$-5.88,0.0
2018-03-31,72.33,$-5.59,0.0
2017-12-31,65.84,$-5.49,0.0
2017-09-30,50.12,$-4.70,0.0
2017-06-30,46.28,$-4.04,0.0
2017-03-31,35.31,$-3.21,0.0
2016-12-31,12.52,$-2.12,0.0
2016-09-30,13.85,$-1.82,0.0
2016-06-30,9.88,$-1.71,0.0
2016-03-31,16.91,$-1.73,0.0
2015-12-31,22.26,$-1.75,0.0
2015-09-30,23.59,$-1.74,0.0
2015-06-30,81.76,$-1.78,0.0
2015-03-31,92.6,$-1.85,0.0
2014-12-31,40.44,$-2.01,0.0
2014-09-30,24.46,$-3.19,0.0
2014-06-30,15.84,$13.23,1.2
2014-03-31,15.12,$-2.89,0.0
