Consensus Cloud Solutions Price to Free Cash Flow Ratio Historical Data,Consensus Cloud Solutions Price to Free Cash Flow Ratio Historical Data,Consensus Cloud Solutions Price to Free Cash Flow Ratio Historical Data,Consensus Cloud Solutions Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,24.69,,5.42
2024-12-31,23.86,$4.56,5.24
2024-09-30,23.55,$4.10,5.74
2024-06-30,17.18,$4.94,3.48
2024-03-31,15.86,$4.34,3.65
2023-12-31,26.21,$3.96,6.62
2023-09-30,25.18,$3.47,7.25
2023-06-30,31.0,$2.43,12.73
2023-03-31,34.09,$2.00,17.09
2022-12-31,53.76,$2.66,20.2
2022-09-30,47.3,$13.47,3.51
