Brand Engagement Network Price to Free Cash Flow Ratio Historical Data,Brand Engagement Network Price to Free Cash Flow Ratio Historical Data,Brand Engagement Network Price to Free Cash Flow Ratio Historical Data,Brand Engagement Network Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.38,,0.0
2024-09-30,1.04,$-0.30,0.0
2024-06-30,3.45,$-0.29,0.0
2024-03-31,6.75,$-0.29,0.0
2023-12-31,10.59,$-0.11,0.0
2023-09-30,10.45,$-0.16,0.0
2023-06-30,10.27,$-0.09,0.0
2023-03-31,10.02,$-0.06,0.0
2022-12-31,10.07,$-0.08,0.0
2022-09-30,9.89,$-0.07,0.0
2022-06-30,9.8,$-0.07,0.0
2022-03-31,9.8,$-0.24,0.0
