Relmada Therapeutics Price to Free Cash Flow Ratio Historical Data,Relmada Therapeutics Price to Free Cash Flow Ratio Historical Data,Relmada Therapeutics Price to Free Cash Flow Ratio Historical Data,Relmada Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.3,,0.0
2024-09-30,3.24,$-1.76,0.0
2024-06-30,3.0,$-1.60,0.0
2024-03-31,4.65,$-1.60,0.0
2023-12-31,4.14,$-1.72,0.0
2023-09-30,3.0,$-2.62,0.0
2023-06-30,2.46,$-3.12,0.0
2023-03-31,2.26,$-2.45,0.0
2022-12-31,3.49,$-3.50,0.0
2022-09-30,37.02,$-4.39,0.0
2022-06-30,18.99,$-4.65,0.0
2022-03-31,26.99,$-4.61,0.0
2021-12-31,22.53,$-5.23,0.0
2021-09-30,26.21,$-3.58,0.0
2021-06-30,32.01,$-3.19,0.0
2021-03-31,35.21,$-3.77,0.0
2020-12-31,32.07,$-1.78,0.0
2020-09-30,37.62,$-2.61,0.0
