Citizens Community Bancorp Price to Free Cash Flow Ratio Historical Data,Citizens Community Bancorp Price to Free Cash Flow Ratio Historical Data,Citizens Community Bancorp Price to Free Cash Flow Ratio Historical Data,Citizens Community Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,14.77,,7.84
2024-12-31,16.29,$1.88,8.65
2024-09-30,14.17,$1.98,7.14
2024-06-30,11.57,$2.08,5.58
2024-03-31,12.15,$1.83,6.63
2023-12-31,11.4,$1.12,10.14
2023-09-30,9.34,$1.51,6.19
2023-06-30,8.61,$1.40,6.16
2023-03-31,10.32,$1.82,5.66
2022-12-31,11.44,$2.44,4.68
2022-09-30,11.57,$1.97,5.89
2022-06-30,13.15,$2.23,5.89
2022-03-31,14.37,$1.24,11.59
2021-12-31,12.89,$1.66,7.74
2021-09-30,12.87,$2.11,6.1
2021-06-30,12.81,$1.95,6.58
2021-03-31,11.62,$2.35,4.95
2020-12-31,9.99,$1.93,5.16
2020-09-30,6.32,$1.78,3.55
2020-06-30,6.29,$1.28,4.91
2020-03-31,5.92,$1.44,4.11
2019-12-31,11.01,$0.57,19.24
2019-09-30,9.98,$0.55,17.99
2019-06-30,9.77,$-1.33,0.0
2019-03-31,10.75,$0.50,21.65
2018-12-31,9.66,$1.02,9.45
2018-09-30,12.41,$0.52,23.69
2018-06-30,12.54,$2.07,6.06
2018-03-31,12.42,$0.26,47.29
2017-12-31,11.8,0,0.0
2017-09-30,12.19,0,0.0
2017-06-30,12.21,$-0.02,0.0
2017-03-31,12.1,$0.01,0.0
2016-12-31,10.73,0,0.0
2016-09-30,9.65,0,0.0
2016-06-30,8.94,$-0.32,0.0
2016-03-31,7.72,$-0.33,0.0
2015-12-31,8.06,0,0.0
2015-09-30,7.53,0,0.0
2015-06-30,7.8,$-0.37,0.0
2015-03-31,7.75,$-0.01,0.0
2014-12-31,7.72,0,0.0
2014-09-30,7.47,0,0.0
2014-06-30,7.17,$0.30,23.84
2014-03-31,6.75,$0.13,51.2
2013-12-31,6.22,$0.00,0.0
2013-09-30,6.09,$0.00,0.0
2013-06-30,5.88,$-0.62,0.0
2013-03-31,5.76,$-0.37,0.0
2012-12-31,5.03,0,0.0
2012-09-30,4.94,$-2.00,0.0
2012-06-30,4.73,$0.68,6.97
2012-03-31,5.08,$0.02,285.15
2011-12-31,4.3,$0.48,8.97
2011-09-30,4.19,$1.28,3.27
2011-06-30,4.61,$0.80,5.74
2011-03-31,4.18,$1.20,3.48
2010-12-31,3.31,0,0.0
2010-09-30,3.71,$1.20,3.1
2010-06-30,3.18,$0.42,7.5
2010-03-31,3.32,$0.01,0.0
2009-12-31,2.85,0,0.0
