Gevo Price to Free Cash Flow Ratio Historical Data,Gevo Price to Free Cash Flow Ratio Historical Data,Gevo Price to Free Cash Flow Ratio Historical Data,Gevo Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.32,,0.0
2024-09-30,1.63,$-0.42,0.0
2024-06-30,0.56,$-0.43,0.0
2024-03-31,0.77,$-0.46,0.0
2023-12-31,1.16,$-0.45,0.0
2023-09-30,1.19,$-0.46,0.0
2023-06-30,1.52,$-0.52,0.0
2023-03-31,1.54,$-0.49,0.0
2022-12-31,1.9,$-0.58,0.0
2022-09-30,2.28,$-0.87,0.0
2022-06-30,2.35,$-0.67,0.0
2022-03-31,4.68,$-0.69,0.0
2021-12-31,4.28,$-0.54,0.0
2021-09-30,6.64,$-0.36,0.0
2021-06-30,7.27,$0.21,34.49
2021-03-31,9.81,$0.03,345.42
2020-12-31,4.25,$-0.44,0.0
2020-09-30,1.0,$-0.83,0.0
2020-06-30,0.79,$-1.83,0.0
2020-03-31,0.82,$-1.96,0.0
2019-12-31,2.31,$-2.20,0.0
2019-09-30,3.35,$-3.92,0.0
2019-06-30,1.97,$0.04,44.17
2019-03-31,2.19,$-0.57,0.0
2018-12-31,1.96,$-3.71,0.0
2018-09-30,3.96,$-7.05,0.0
2018-06-30,3.8,$-13.48,0.0
2018-03-31,9.22,$-16.51,0.0
2017-12-31,11.81,$-27.65,0.0
2017-09-30,12.49,$-69.94,0.0
2017-06-30,13.78,$-24.77,0.0
2017-03-31,22.8,$-18.15,0.0
2016-12-31,69.2,$-137.78,0.0
2016-09-30,192.8,$-424.24,0.0
2016-06-30,236.0,$-514.57,0.0
2016-03-31,108.0,$-513.06,0.0
2015-12-31,248.0,$-841.08,0.0
2015-09-30,688.0,$-618.78,0.0
2015-06-30,1308.0,$-564.75,0.0
2015-03-31,1206.0,"$-1,729.96",0.0
2014-12-31,1920.0,"$-2,671.28",0.0
2014-09-30,2055.0,"$-4,694.92",0.0
2014-06-30,5160.0,"$-6,388.83",0.0
2014-03-31,7020.0,"$-6,654.63",0.0
2013-12-31,8580.0,"$-6,862.52",0.0
2013-09-30,11519.99,"$-7,832.58",0.0
2013-06-30,12179.99,"$-7,966.14",0.0
2013-03-31,13439.99,"$-14,305.07",0.0
2012-12-31,9240.0,"$-18,413.83",0.0
2012-09-30,12839.99,"$-18,109.80",0.0
2012-06-30,29819.99,"$-17,947.50",0.0
2012-03-31,55139.97,"$-10,348.45",0.0
2011-12-31,37739.98,"$-9,613.40",0.0
