Binah Capital Price to Free Cash Flow Ratio Historical Data,Binah Capital Price to Free Cash Flow Ratio Historical Data,Binah Capital Price to Free Cash Flow Ratio Historical Data,Binah Capital Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.87,,0.0
2024-09-30,2.92,$-0.15,0.0
2024-06-30,6.2,$-0.13,0.0
2024-03-31,12.95,$-0.19,0.0
2023-12-31,10.35,0,0.0
2023-09-30,10.35,$0.49,21.23
2023-06-30,10.35,$0.38,27.1
2023-03-31,10.35,$0.26,40.48
2022-12-31,10.35,$-0.00,0.0
2022-09-30,10.35,$-0.57,0.0
2022-06-30,10.32,$-0.50,0.0
2022-03-31,10.21,$-0.45,0.0
2021-12-31,10.1,$-0.21,0.0
