Hippo Holdings Price to Free Cash Flow Ratio Historical Data,Hippo Holdings Price to Free Cash Flow Ratio Historical Data,Hippo Holdings Price to Free Cash Flow Ratio Historical Data,Hippo Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,26.28,,18.29
2024-12-31,26.77,$1.44,18.63
2024-09-30,16.88,$-0.54,0.0
2024-06-30,17.19,$-2.38,0.0
2024-03-31,18.27,$-3.60,0.0
2023-12-31,9.12,$-5.90,0.0
2023-09-30,7.97,$-5.13,0.0
2023-06-30,16.53,$-7.12,0.0
2023-03-31,16.23,$-6.79,0.0
2022-12-31,13.6,$-7.97,0.0
2022-09-30,18.53,$-10.88,0.0
2022-06-30,21.97,$1.89,11.61
2022-03-31,49.75,$-10.87,0.0
2021-12-31,70.75,$-12.73,0.0
