Stem Price to Free Cash Flow Ratio Historical Data,Stem Price to Free Cash Flow Ratio Historical Data,Stem Price to Free Cash Flow Ratio Historical Data,Stem Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.43,,0.0
2024-12-31,0.6,$-0.30,0.0
2024-09-30,0.35,$-0.24,0.0
2024-06-30,1.11,$-0.21,0.0
2024-03-31,2.19,$-1.21,0.0
2023-12-31,3.88,$-1.45,0.0
2023-09-30,4.24,$-1.68,0.0
2023-06-30,5.72,$-1.90,0.0
2023-03-31,5.67,$-0.89,0.0
2022-12-31,8.94,$-0.83,0.0
2022-09-30,13.34,$-1.04,0.0
2022-06-30,7.16,$-0.84,0.0
2022-03-31,11.01,$-1.26,0.0
