Babcock Price to Free Cash Flow Ratio Historical Data,Babcock Price to Free Cash Flow Ratio Historical Data,Babcock Price to Free Cash Flow Ratio Historical Data,Babcock Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.9,,0.0
2024-09-30,2.04,$-1.05,0.0
2024-06-30,1.45,$-0.65,0.0
2024-03-31,1.13,$-0.62,0.0
2023-12-31,1.46,$-0.59,0.0
2023-09-30,4.21,$-0.32,0.0
2023-06-30,5.9,$-0.06,0.0
2023-03-31,6.06,$-0.18,0.0
2022-12-31,5.77,$-0.50,0.0
2022-09-30,6.38,$-0.99,0.0
2022-06-30,6.03,$-1.15,0.0
2022-03-31,8.16,$-1.12,0.0
2021-12-31,9.02,$-1.41,0.0
2021-09-30,6.41,$-0.91,0.0
2021-06-30,7.88,$-0.93,0.0
2021-03-31,9.47,$-0.97,0.0
2020-12-31,3.51,$-1.01,0.0
2020-09-30,2.32,$-1.91,0.0
2020-06-30,2.28,$3.56,0.64
2020-03-31,1.02,$-4.23,0.0
2019-12-31,3.64,$-5.48,0.0
2019-09-30,4.79,$-13.83,0.0
2019-06-30,3.43,$-19.52,0.0
2019-03-31,4.11,$-7.69,0.0
2018-12-31,3.9,$-20.78,0.0
2018-09-30,10.3,$-20.41,0.0
2018-06-30,23.8,$-36.57,0.0
2018-03-31,43.7,$-42.39,0.0
2017-12-31,56.8,$-43.49,0.0
2017-09-30,33.3,$-26.95,0.0
2017-06-30,117.6,$-16.51,0.0
2017-03-31,93.4,$-12.24,0.0
2016-12-31,165.9,$-4.03,0.0
2016-09-30,165.0,$-0.15,0.0
2016-06-30,146.9,$19.32,7.6
