Plumas Bancorp Price to Free Cash Flow Ratio Historical Data,Plumas Bancorp Price to Free Cash Flow Ratio Historical Data,Plumas Bancorp Price to Free Cash Flow Ratio Historical Data,Plumas Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,44.4,,4.68
2024-12-31,47.26,$9.49,4.98
2024-09-30,40.51,$8.12,4.99
2024-06-30,35.51,$8.89,3.99
2024-03-31,36.03,$9.70,3.71
2023-12-31,40.19,$6.18,6.5
2023-09-30,32.94,$7.20,4.57
2023-06-30,34.2,$7.22,4.74
2023-03-31,32.43,$8.11,4.0
2022-12-31,35.06,$9.27,3.78
2022-09-30,26.72,$8.19,3.26
2022-06-30,26.74,$3.87,6.9
2022-03-31,35.53,$0.29,120.93
2021-12-31,31.37,$-1.59,0.0
2021-09-30,29.21,$-0.19,0.0
2021-06-30,29.5,$2.00,14.75
2021-03-31,26.8,$5.07,5.28
2020-12-31,21.41,$4.75,4.51
2020-09-30,17.82,$3.79,4.71
2020-06-30,19.92,$4.66,4.27
2020-03-31,16.55,$2.81,5.89
2019-12-31,23.6,$2.81,8.38
2019-09-30,17.87,$2.82,6.33
2019-06-30,21.51,$3.34,6.45
2019-03-31,20.0,$3.09,6.46
2018-12-31,19.93,$2.35,8.49
2018-09-30,21.65,$2.38,9.1
2018-06-30,24.57,$1.69,14.55
2018-03-31,21.56,$2.75,7.83
2017-12-31,20.09,$2.17,9.25
2017-09-30,17.98,$1.92,9.34
2017-06-30,18.32,$1.83,9.99
2017-03-31,15.54,$1.56,9.94
2016-12-31,16.22,$1.70,9.54
2016-09-30,8.67,$1.61,5.4
2016-06-30,7.63,$2.34,3.26
2016-03-31,7.46,$1.00,7.49
2015-12-31,7.35,$1.20,6.14
2015-09-30,7.53,$1.12,6.73
2015-06-30,7.89,$-0.18,0.0
2015-03-31,8.0,$0.66,12.19
2014-12-31,6.76,$1.09,6.19
2014-09-30,6.54,$1.04,6.27
2014-06-30,5.76,$1.43,4.04
2014-03-31,5.27,$2.14,2.47
2013-12-31,5.27,$2.15,2.45
2013-09-30,5.25,$2.15,2.44
2013-06-30,5.25,$2.36,2.23
2013-03-31,4.44,$1.44,3.08
2012-12-31,2.76,$1.04,2.66
2012-09-30,3.0,$1.18,2.53
2012-06-30,2.64,$2.63,1.0
2012-03-31,2.84,$2.29,1.24
2011-12-31,2.02,$2.06,0.98
2011-09-30,2.05,$2.02,1.02
2011-06-30,2.05,$0.79,2.59
2011-03-31,1.82,$1.81,1.0
2010-12-31,1.98,$1.90,1.04
2010-09-30,2.59,$0.94,2.76
2010-06-30,2.3,$1.14,2.02
2010-03-31,2.32,$0.18,12.84
2009-12-31,2.54,$0.02,139.62
