FS KKR Capital Price to Free Cash Flow Ratio Historical Data,FS KKR Capital Price to Free Cash Flow Ratio Historical Data,FS KKR Capital Price to Free Cash Flow Ratio Historical Data,FS KKR Capital Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,20.47,,3.02
2024-12-31,21.72,$6.79,3.2
2024-09-30,19.1,$3.77,5.07
2024-06-30,18.44,$4.35,4.24
2024-03-31,17.17,$5.72,3.0
2023-12-31,17.28,$4.94,3.5
2023-09-30,16.41,$6.92,2.37
2023-06-30,15.4,$7.20,2.14
2023-03-31,14.29,$6.61,2.16
2022-12-31,13.01,$3.90,3.33
2022-09-30,12.14,$-0.49,0.0
2022-06-30,13.47,$-6.34,0.0
2022-03-31,15.29,$-8.36,0.0
2021-12-31,13.64,$-3.02,0.0
2021-09-30,13.92,$-0.16,0.0
2021-06-30,13.2,$5.20,2.54
2021-03-31,11.85,$7.90,1.5
2020-12-31,9.62,$5.43,1.77
2020-09-30,8.91,$0.47,18.85
2020-06-30,7.58,$-0.81,0.0
2020-03-31,6.27,$-1.50,0.0
2019-12-31,12.09,$-1.97,0.0
2019-09-30,11.15,$1.22,9.17
2019-06-30,11.04,$2.58,4.28
2019-03-31,10.87,$3.01,3.62
2018-12-31,9.02,$4.46,2.03
2018-09-30,11.72,$5.59,2.1
2018-06-30,11.9,$6.16,1.93
2018-03-31,11.46,$7.89,1.45
2017-12-31,11.31,$1.08,10.51
2017-09-30,12.69,$4.64,2.73
2017-06-30,13.37,$4.95,2.7
2017-03-31,13.98,$1.84,7.6
2016-12-31,14.36,$8.64,1.66
2016-09-30,12.92,$5.47,2.36
2016-06-30,12.06,$1.34,9.01
2016-03-31,11.92,$4.52,2.64
2015-12-31,11.41,$2.90,3.94
2015-09-30,11.54,$2.79,4.13
2015-06-30,11.92,$5.61,2.13
2015-03-31,12.03,$3.02,3.99
