Canadian Solar Price to Free Cash Flow Ratio Historical Data,Canadian Solar Price to Free Cash Flow Ratio Historical Data,Canadian Solar Price to Free Cash Flow Ratio Historical Data,Canadian Solar Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.15,,0.0
2024-09-30,16.76,$-37.95,0.0
2024-06-30,14.75,$-30.28,0.0
2024-03-31,19.76,$-18.34,0.0
2023-12-31,26.23,$-11.50,0.0
2023-09-30,24.61,$-5.60,0.0
2023-06-30,38.69,$-3.40,0.0
2023-03-31,39.81,$0.05,768.53
2022-12-31,30.9,$4.19,7.37
2022-09-30,37.25,$-9.41,0.0
2022-06-30,31.14,$-8.58,0.0
2022-03-31,35.36,$-11.63,0.0
2021-12-31,31.29,$-11.63,0.0
2021-09-30,34.59,$-7.31,0.0
2021-06-30,44.84,$-7.31,0.0
2021-03-31,49.63,$-7.31,0.0
2020-12-31,51.24,$-7.31,0.0
2020-09-30,35.1,$5.08,6.9
2020-06-30,19.27,$5.08,3.79
2020-03-31,15.91,$5.08,3.13
2019-12-31,22.1,$5.08,4.35
2019-09-30,18.88,$-1.32,0.0
2019-06-30,21.83,$-1.32,0.0
2019-03-31,18.63,$-1.32,0.0
2018-12-31,14.34,$-1.32,0.0
2018-09-30,14.5,$0.36,40.54
2018-06-30,12.24,$0.36,34.22
2018-03-31,16.27,$0.36,45.49
2017-12-31,16.86,$0.36,47.13
2017-09-30,16.84,0,0.0
2017-06-30,15.92,0,0.0
2017-03-31,12.27,$0.05,256.69
2016-06-30,15.12,$-3.79,0.0
2016-03-31,19.28,$-3.79,0.0
2015-12-31,28.96,$-3.79,0.0
2015-09-30,16.63,$-4.17,0.0
2015-06-30,28.6,$-4.43,0.0
2015-03-31,33.39,$-3.04,0.0
2014-09-30,35.77,$-0.34,0.0
2014-06-30,31.26,0,0.0
2013-12-31,29.82,$4.10,7.28
2013-09-30,16.99,$0.86,19.76
2013-06-30,10.99,$-4.82,0.0
2013-03-31,3.46,$-4.82,0.0
2012-12-31,3.4,$-4.82,0.0
2012-09-30,2.79,$-6.34,0.0
2012-06-30,3.6,$-3.37,0.0
2012-03-31,3.18,$-3.37,0.0
2011-12-31,2.66,$-3.37,0.0
2011-09-30,3.68,$-4.40,0.0
2011-06-30,11.5,$-4.40,0.0
2011-03-31,11.28,$-4.40,0.0
2010-12-31,12.39,$-4.40,0.0
2010-09-30,16.3,$-0.50,0.0
2010-06-30,9.78,$0.40,24.44
2010-03-31,24.32,$-0.50,0.0
2009-12-31,28.82,$-0.50,0.0
