"DINE BRANDS GLOBAL, INC Price to Free Cash Flow Ratio Historical Data","DINE BRANDS GLOBAL, INC Price to Free Cash Flow Ratio Historical Data","DINE BRANDS GLOBAL, INC Price to Free Cash Flow Ratio Historical Data","DINE BRANDS GLOBAL, INC Price to Free Cash Flow Ratio Historical Data"
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,25.29,,3.89
2024-12-31,30.1,$6.50,4.63
2024-09-30,31.23,$7.60,4.11
2024-06-30,35.59,$7.91,4.5
2024-03-31,45.1,$7.99,5.65
2023-12-31,47.65,$6.17,7.73
2023-09-30,46.97,$4.47,10.51
2023-06-30,54.6,$4.47,12.2
2023-03-31,63.1,$5.08,12.42
2022-12-31,59.79,$4.47,13.38
2022-09-30,58.37,$5.60,10.43
2022-06-30,59.34,$5.89,10.08
2022-03-31,70.52,$8.29,8.51
2021-12-31,68.18,$10.65,6.4
2021-09-30,72.65,$11.74,6.19
2021-06-30,79.85,$12.44,6.42
2021-03-31,80.54,$5.57,14.47
2020-12-31,51.89,$5.31,9.78
2020-09-30,48.84,$4.32,11.31
2020-06-30,37.66,$3.49,10.78
2020-03-31,25.66,$8.12,3.16
2019-12-31,71.65,$8.02,8.93
2019-09-30,64.54,$9.67,6.68
2019-06-30,80.43,$9.50,8.47
2019-03-31,76.36,$7.75,9.85
2018-12-31,55.88,$7.12,7.84
2018-09-30,66.91,$4.64,14.43
2018-06-30,61.07,$3.24,18.86
2018-03-31,53.11,$2.84,18.67
2017-12-31,40.69,$3.01,13.5
2017-09-30,33.81,$4.23,7.99
2017-06-30,33.85,$4.20,8.07
2017-03-31,40.89,$5.14,7.95
2016-12-31,56.83,$6.21,9.16
2016-09-30,57.77,$6.64,8.7
2016-06-30,61.12,$7.95,7.68
2016-03-31,66.61,$7.41,8.99
2015-12-31,59.78,$7.44,8.03
2015-09-30,64.02,$4.85,13.2
2015-06-30,68.56,$5.55,12.36
2015-03-31,73.39,$5.30,13.85
2014-12-31,70.49,$5.98,11.8
2014-09-30,55.0,$6.33,8.69
2014-06-30,53.1,$6.35,8.36
2014-03-31,51.67,$5.38,9.61
2013-12-31,54.8,$6.31,8.68
2013-09-30,44.85,$5.85,7.67
2013-06-30,44.26,$10.98,4.03
2013-03-31,43.75,$11.16,3.92
2012-12-31,42.16,$10.85,3.89
2012-09-30,35.24,$14.38,2.45
2012-06-30,28.09,$9.22,3.05
2012-03-31,31.21,$9.53,3.28
2011-12-31,26.56,$11.60,2.29
2011-09-30,24.22,$14.67,1.65
2011-06-30,32.89,$14.68,2.24
2011-03-31,34.6,$16.02,2.16
2010-12-31,31.08,$12.31,2.52
2010-09-30,28.31,$7.90,3.58
2010-06-30,17.57,$8.23,2.14
2010-03-31,24.88,$7.41,3.36
2009-12-31,15.29,$9.35,1.63
