Aware Price to Free Cash Flow Ratio Historical Data,Aware Price to Free Cash Flow Ratio Historical Data,Aware Price to Free Cash Flow Ratio Historical Data,Aware Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.68,,0.0
2024-12-31,1.95,$-0.15,0.0
2024-09-30,1.87,$-0.04,0.0
2024-06-30,1.97,$0.12,17.12
2024-03-31,1.87,$0.04,43.39
2023-12-31,1.66,$0.09,19.3
2023-09-30,1.38,$-0.11,0.0
2023-06-30,1.58,$0.07,22.64
2023-03-31,1.7,$0.17,10.18
2022-12-31,1.71,$0.13,13.32
2022-09-30,1.78,$0.13,13.83
2022-06-30,2.38,$-0.25,0.0
2022-03-31,3.0,$-0.29,0.0
2021-12-31,3.15,$-0.29,0.0
2021-09-30,4.01,$-0.29,0.0
2021-06-30,3.7,$-0.32,0.0
2021-03-31,3.65,$-0.34,0.0
2020-12-31,3.5,$-0.27,0.0
2020-09-30,2.7,$-0.22,0.0
2020-06-30,3.22,$-0.14,0.0
2020-03-31,2.85,$-0.13,0.0
2019-12-31,3.36,$-0.14,0.0
2019-09-30,2.99,$-0.01,0.0
2019-06-30,3.32,$0.02,186.52
2019-03-31,3.62,$0.01,276.34
2018-12-31,3.61,$0.02,171.9
2018-09-30,3.6,$0.03,111.8
2018-06-30,4.05,$0.05,86.91
2018-03-31,4.15,$0.12,34.1
2017-12-31,4.5,$0.16,27.44
2017-09-30,4.65,$0.07,62.67
2017-06-30,5.15,$0.13,39.22
2017-03-31,4.7,$0.12,39.9
2016-12-31,6.1,$0.16,37.47
2016-09-30,5.3,$0.31,16.84
2016-06-30,4.34,$0.33,12.99
2016-03-31,3.73,$0.33,11.26
2015-12-31,3.26,$0.29,11.42
2015-09-30,3.35,$0.12,29.03
2015-06-30,4.03,$0.15,27.21
2015-03-31,4.39,$0.22,20.35
2014-12-31,4.54,$0.27,16.9
2014-09-30,3.69,$0.11,33.64
2014-06-30,4.86,$0.05,98.77
2014-03-31,4.29,$0.15,29.36
2013-12-31,4.53,$0.12,38.06
2013-09-30,4.04,$-3.66,0.0
2013-06-30,3.85,$-3.26,0.0
2013-03-31,3.43,$-0.74,0.0
2012-12-31,4.06,$-0.70,0.0
2012-09-30,3.48,$3.29,1.06
2012-06-30,3.56,$2.97,1.2
2012-03-31,1.81,$0.39,4.61
2011-12-31,1.39,$0.31,4.46
2011-09-30,1.22,$0.27,4.49
2011-06-30,1.39,$0.12,11.63
2011-03-31,1.67,$0.03,65.33
2010-12-31,1.32,$0.02,54.97
2010-09-30,1.23,$0.33,3.7
2010-06-30,1.08,$0.37,2.95
2010-03-31,1.12,$0.26,4.33
2009-12-31,1.3,$0.15,8.77
