Orion Energy Systems Price to Free Cash Flow Ratio Historical Data,Orion Energy Systems Price to Free Cash Flow Ratio Historical Data,Orion Energy Systems Price to Free Cash Flow Ratio Historical Data,Orion Energy Systems Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.75,,15.32
2024-12-31,0.8,$0.05,16.26
2024-09-30,0.86,$-0.04,0.0
2024-06-30,1.11,$-0.19,0.0
2024-03-31,0.87,$-0.33,0.0
2023-12-31,0.87,$-0.25,0.0
2023-09-30,1.26,$-0.23,0.0
2023-06-30,1.63,$-0.16,0.0
2023-03-31,2.03,$-0.09,0.0
2022-12-31,1.82,$-0.26,0.0
2022-09-30,1.56,$-0.11,0.0
2022-06-30,2.01,$-0.08,0.0
2022-03-31,2.8,$-0.02,0.0
2021-12-31,3.62,$0.29,12.44
2021-09-30,3.89,$0.36,10.9
2021-06-30,5.73,$0.19,30.43
2021-03-31,6.96,$0.03,261.65
2020-12-31,9.87,$-0.01,0.0
2020-09-30,7.57,$-0.09,0.0
2020-06-30,3.46,$0.31,11.13
2020-03-31,3.7,$0.63,5.86
2019-12-31,3.35,$0.32,10.49
2019-09-30,2.85,$0.11,24.8
2019-06-30,2.97,$-0.13,0.0
2019-03-31,0.89,$-0.18,0.0
2018-12-31,0.57,$-0.11,0.0
2018-09-30,0.96,$-0.04,0.0
2018-06-30,1.1,$0.04,27.85
2018-03-31,0.85,$-0.17,0.0
2017-12-31,0.88,$-0.21,0.0
2017-09-30,1.12,$-0.28,0.0
2017-06-30,1.28,$-0.22,0.0
2017-03-31,1.98,$0.00,0.0
2016-12-31,2.17,$0.08,27.06
2016-09-30,1.33,$0.17,7.96
2016-06-30,1.16,$-0.05,0.0
2016-03-31,1.39,$-0.14,0.0
2015-12-31,2.17,$-0.25,0.0
2015-09-30,1.8,$-0.58,0.0
2015-06-30,2.51,$-0.67,0.0
2015-03-31,3.14,$-0.62,0.0
2014-12-31,5.5,$-0.51,0.0
2014-09-30,5.35,$-0.21,0.0
2014-06-30,4.07,$0.33,12.2
2014-03-31,7.25,$0.46,15.9
2013-12-31,6.8,$0.57,11.87
2013-09-30,3.76,$0.63,5.94
2013-06-30,2.48,$0.15,17.1
2013-03-31,2.48,$0.01,0.0
2012-12-31,1.66,$0.08,20.29
2012-09-30,1.98,$0.14,13.83
2012-06-30,2.2,$0.32,6.85
2012-03-31,2.38,$0.31,7.74
2011-12-31,2.95,$0.24,12.43
2011-09-30,2.65,$-0.08,0.0
2011-06-30,3.93,$-0.34,0.0
2011-03-31,4.04,$-0.59,0.0
2010-12-31,3.34,$-1.13,0.0
2010-09-30,3.17,$-1.04,0.0
2010-06-30,3.16,$-0.78,0.0
2010-03-31,4.9,$-0.87,0.0
2009-12-31,4.39,$-0.79,0.0
