Entera Bio Price to Free Cash Flow Ratio Historical Data,Entera Bio Price to Free Cash Flow Ratio Historical Data,Entera Bio Price to Free Cash Flow Ratio Historical Data,Entera Bio Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.93,,0.0
2024-09-30,1.9,$-0.23,0.0
2024-06-30,1.84,$-0.23,0.0
2024-03-31,1.67,$-0.25,0.0
2023-12-31,0.6,$-0.25,0.0
2023-09-30,0.73,$-0.23,0.0
2023-06-30,0.84,$-0.28,0.0
2023-03-31,1.16,$-0.32,0.0
2022-12-31,0.73,$-0.44,0.0
2022-09-30,1.04,$-0.48,0.0
2022-06-30,1.33,$-0.43,0.0
2022-03-31,2.87,$-0.41,0.0
2021-12-31,2.82,$-0.35,0.0
2021-09-30,4.71,$-0.31,0.0
2021-06-30,5.98,$-0.42,0.0
2021-03-31,3.81,$-0.53,0.0
2020-12-31,1.08,$-0.58,0.0
2020-09-30,1.24,$-0.76,0.0
2020-06-30,1.84,$-0.73,0.0
2020-03-31,2.06,$-0.71,0.0
2019-12-31,2.14,$-0.74,0.0
2019-09-30,2.49,$-0.44,0.0
2019-06-30,3.43,$-0.43,0.0
2019-03-31,4.33,$-0.80,0.0
