Sidus Space Price to Free Cash Flow Ratio Historical Data,Sidus Space Price to Free Cash Flow Ratio Historical Data,Sidus Space Price to Free Cash Flow Ratio Historical Data,Sidus Space Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.67,,0.0
2024-09-30,2.8,$-14.35,0.0
2024-06-30,2.34,$-16.23,0.0
2024-03-31,3.39,$-17.78,0.0
2023-12-31,8.81,$-30.58,0.0
2023-09-30,0.14,$-36.92,0.0
2023-06-30,0.18,$-45.55,0.0
2023-03-31,0.55,$-80.09,0.0
2022-12-31,1.09,$-82.52,0.0
2022-09-30,2.11,$-89.72,0.0
