FMC Price to Free Cash Flow Ratio Historical Data,FMC Price to Free Cash Flow Ratio Historical Data,FMC Price to Free Cash Flow Ratio Historical Data,FMC Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,42.26,,8.78
2024-12-31,48.61,$4.81,10.1
2024-09-30,65.94,$3.94,16.73
2024-06-30,57.05,$3.20,17.85
2024-03-31,62.51,$1.64,38.01
2023-12-31,61.31,$-4.10,0.0
2023-09-30,64.53,$-1.23,0.0
2023-06-30,99.66,$1.37,72.84
2023-03-31,116.01,$1.85,62.8
2022-12-31,117.98,$3.87,30.47
2022-09-30,99.46,$3.16,31.51
2022-06-30,100.2,$2.65,37.87
2022-03-31,122.59,$3.05,40.22
2021-12-31,101.98,$5.73,17.81
2021-09-30,84.56,$4.49,18.85
2021-06-30,99.42,$4.66,21.35
2021-03-31,101.19,$4.80,21.07
2020-12-31,104.69,$4.68,22.35
2020-09-30,96.07,$4.63,20.77
2020-06-30,89.99,$3.88,23.21
2020-03-31,73.46,$2.38,30.84
2019-12-31,89.29,$2.99,29.87
2019-09-30,78.08,$-0.61,0.0
2019-06-30,73.53,$-0.87,0.0
2019-03-31,67.77,$0.76,89.49
2018-12-31,65.24,$2.10,31.06
2018-09-30,76.49,$2.82,27.08
2018-06-30,78.13,$1.64,47.61
2018-03-31,66.93,$1.85,36.26
2017-12-31,82.56,$2.21,37.29
2017-09-30,77.76,$2.79,27.9
2017-06-30,63.48,$3.43,18.5
2017-03-31,60.34,$2.23,27.0
2016-12-31,48.91,$3.04,16.11
2016-09-30,41.68,$2.22,18.74
2016-06-30,39.8,$0.07,580.12
2016-03-31,34.56,$-0.08,0.0
2015-12-31,33.37,$-3.06,0.0
2015-09-30,28.8,$-1.96,0.0
2015-06-30,44.4,$-0.43,0.0
2015-03-31,48.23,$0.12,398.57
2014-12-31,47.9,$1.43,33.56
2014-09-30,47.91,$0.25,190.81
2014-06-30,59.49,$0.24,245.82
2014-03-31,63.84,$0.64,100.16
2013-12-31,62.8,$1.23,50.87
2013-09-30,59.58,$1.13,52.58
2013-06-30,50.63,$1.23,41.28
2013-03-31,47.19,$0.93,50.84
2012-12-31,48.31,$1.33,36.21
2012-09-30,45.61,$1.94,23.5
2012-06-30,43.97,$2.27,19.37
2012-03-31,43.44,$2.01,21.63
2011-12-31,35.25,$1.57,22.38
2011-09-30,28.28,$1.41,20.07
2011-06-30,35.11,$1.08,32.38
2011-03-31,34.6,$1.10,31.38
2010-12-31,32.49,$1.47,22.11
2010-09-30,27.78,$1.32,21.06
2010-06-30,23.28,$1.30,17.84
2010-03-31,24.48,$0.83,29.52
2009-12-31,22.5,$0.98,22.88
