Bright Scholar Education Price to Free Cash Flow Ratio Historical Data,Bright Scholar Education Price to Free Cash Flow Ratio Historical Data,Bright Scholar Education Price to Free Cash Flow Ratio Historical Data,Bright Scholar Education Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.9,,2.72
2024-11-30,1.75,$0.70,2.51
2024-08-31,1.9,$0.84,2.27
2024-05-31,2.3,$0.50,4.57
2024-02-29,2.5,$-3.09,0.0
2023-11-30,1.13,$0.73,1.55
2023-05-31,1.62,$-0.22,0.0
2022-05-31,3.13,$2.12,1.48
2021-08-31,13.44,$2.82,4.77
2021-05-31,15.92,$1.43,11.13
2021-02-28,25.16,$1.49,16.93
2020-11-30,24.96,$1.11,22.47
2020-08-31,29.99,$1.67,17.98
2020-05-31,27.81,$1.85,15.01
2020-02-29,30.89,$2.45,12.58
2019-11-30,36.07,$2.71,13.29
2019-08-31,33.58,$3.25,10.34
2019-05-31,36.18,$2.48,14.6
2019-02-28,41.98,$2.79,15.07
2018-11-30,41.83,$2.15,19.44
2018-08-31,45.33,$2.10,21.61
2018-05-31,67.31,$0.97,69.44
