MMTec Price to Free Cash Flow Ratio Historical Data,MMTec Price to Free Cash Flow Ratio Historical Data,MMTec Price to Free Cash Flow Ratio Historical Data,MMTec Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.05,,inf
2023-12-31,1.0,0.0,0.0
2023-06-30,0.74,0.0,0.0
2022-12-31,0.78,0.0,0.0
2022-06-30,2.95,0.0,0.0
2021-12-31,6.6,0.0,0.0
2021-06-30,20.8,0.0,0.0
2020-12-31,14.7,0.0,0.0
