NaaS Technology Price to Free Cash Flow Ratio Historical Data,NaaS Technology Price to Free Cash Flow Ratio Historical Data,NaaS Technology Price to Free Cash Flow Ratio Historical Data,NaaS Technology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.92,,0.0
2024-09-30,3.99,$-7.13,0.0
2024-06-30,2.43,$-6.84,0.0
2024-03-31,24.8,$-7.13,0.0
2023-12-31,30.4,$-7.13,0.0
2023-09-30,69.8,0,0.0
2023-06-30,106.6,$-1.27,0.0
2023-03-31,213.0,0,0.0
2022-06-30,119.6,$-62.37,0.0
2021-06-30,261.0,$-62.37,0.0
2021-03-31,405.0,$-62.37,0.0
2020-12-31,609.0,$-62.37,0.0
2020-09-30,606.0,$-22.43,0.0
2020-06-30,388.0,$-22.43,0.0
2020-03-31,407.0,$-22.43,0.0
2019-12-31,699.0,$-22.43,0.0
2019-09-30,837.0,$79.05,10.59
2019-06-30,953.0,$79.05,12.06
2019-03-31,973.0,$79.05,12.31
2018-12-31,796.0,$79.05,10.07
