Southwest Airlines Price to Free Cash Flow Ratio Historical Data,Southwest Airlines Price to Free Cash Flow Ratio Historical Data,Southwest Airlines Price to Free Cash Flow Ratio Historical Data,Southwest Airlines Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,34.15,,0.0
2024-12-31,33.62,$-2.48,0.0
2024-09-30,29.63,$-3.12,0.0
2024-06-30,28.44,$-2.67,0.0
2024-03-31,28.83,$-1.13,0.0
2023-12-31,28.38,$-0.56,0.0
2023-09-30,26.43,$-1.33,0.0
2023-06-30,35.15,$-2.30,0.0
2023-03-31,31.43,$-1.73,0.0
2022-12-31,32.18,$-0.21,0.0
2022-09-30,29.48,$1.11,26.63
2022-06-30,34.52,$1.31,26.27
2022-03-31,43.77,$3.03,14.46
2021-12-31,40.94,$2.98,13.72
2021-09-30,49.15,$1.63,30.17
2021-06-30,50.74,$0.76,66.39
2021-03-31,58.36,$-0.66,0.0
2020-12-31,44.55,$-2.15,0.0
2020-09-30,35.84,$0.85,42.16
2020-06-30,32.67,$4.22,7.74
2020-03-31,34.03,$3.94,8.64
2019-12-31,51.39,$6.23,8.24
2019-09-30,51.25,$5.24,9.79
2019-06-30,48.01,$5.34,9.0
2019-03-31,48.9,$5.88,8.32
2018-12-31,43.78,$5.18,8.46
2018-09-30,58.83,$4.48,13.14
2018-06-30,47.8,$3.61,13.23
2018-03-31,53.65,$2.03,26.41
2017-12-31,61.17,$3.00,20.42
2017-09-30,52.21,$2.96,17.65
2017-06-30,57.82,$3.02,19.12
2017-03-31,49.92,$3.72,13.43
2016-12-31,46.2,$3.56,12.97
2016-09-30,35.97,$2.80,12.84
2016-06-30,36.17,$3.05,11.87
2016-03-31,41.23,$2.32,17.79
2015-12-31,39.56,$1.79,22.11
2015-09-30,34.89,$2.15,16.25
2015-06-30,30.29,$0.99,30.5
2015-03-31,40.47,$1.92,21.05
2014-12-31,38.61,$1.66,23.29
2014-09-30,30.77,$1.83,16.86
2014-06-30,24.42,$2.29,10.67
2014-03-31,21.42,$1.86,11.51
2013-12-31,17.06,$1.45,11.73
2013-09-30,13.16,$1.43,9.21
2013-06-30,11.62,$1.29,8.98
2013-03-31,12.11,$0.14,85.84
2012-12-31,9.19,$0.95,9.72
2012-09-30,7.87,$1.14,6.88
2012-06-30,8.26,$0.40,20.58
2012-03-31,7.37,$0.71,10.38
2011-12-31,7.66,$0.50,15.29
2011-09-30,7.19,$0.78,9.16
2011-06-30,10.2,$1.79,5.71
2011-03-31,11.28,$2.33,4.85
2010-12-31,11.59,$1.43,8.1
2010-09-30,11.66,$1.71,6.83
2010-06-30,9.91,$1.16,8.51
2010-03-31,11.79,$0.58,20.23
2009-12-31,10.19,$0.54,18.87
