Journey Medical Price to Free Cash Flow Ratio Historical Data,Journey Medical Price to Free Cash Flow Ratio Historical Data,Journey Medical Price to Free Cash Flow Ratio Historical Data,Journey Medical Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.57,,0.0
2024-09-30,5.65,$-1.30,0.0
2024-06-30,5.64,$-0.39,0.0
2024-03-31,3.68,$0.09,42.25
2023-12-31,5.76,$0.29,20.04
2023-09-30,2.74,$0.81,3.37
2023-06-30,1.59,$-0.47,0.0
2023-03-31,1.57,$-0.88,0.0
2022-12-31,1.92,$-0.77,0.0
2022-09-30,2.46,$-0.76,0.0
