BitFuFu Price to Free Cash Flow Ratio Historical Data,BitFuFu Price to Free Cash Flow Ratio Historical Data,BitFuFu Price to Free Cash Flow Ratio Historical Data,BitFuFu Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.51,,inf
2024-09-30,4.04,0,0.0
2024-06-30,4.7,$-0.23,0.0
2024-03-31,4.94,0,0.0
2023-12-31,10.91,0,0.0
2023-09-30,10.73,0,0.0
