Catheter Precision Price to Free Cash Flow Ratio Historical Data,Catheter Precision Price to Free Cash Flow Ratio Historical Data,Catheter Precision Price to Free Cash Flow Ratio Historical Data,Catheter Precision Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.37,,0.0
2024-09-30,0.4,$-13.21,0.0
2024-06-30,5.85,$-10.94,0.0
2024-03-31,4.86,$4.04,1.2
2023-12-31,4.04,$-37.66,0.0
2023-09-30,4.44,$-66.77,0.0
2023-06-30,9.2,$-24.18,0.0
2023-03-31,15.3,$-48.61,0.0
2022-12-31,58.9,$-218.09,0.0
2022-09-30,59.9,$-517.00,0.0
2022-06-30,157.05,$-508.47,0.0
2022-03-31,200.05,$-903.05,0.0
2021-12-31,780.0,"$-2,024.33",0.0
2021-09-30,1570.0,"$-6,061.98",0.0
2021-06-30,2185.0,"$-10,077.05",0.0
2021-03-31,2330.0,"$-9,671.58",0.0
2020-12-31,3715.0,"$-8,349.32",0.0
2020-09-30,3625.0,"$-4,035.45",0.0
2020-06-30,6156.25,$-76.07,0.0
2020-03-31,13625.0,$-75.77,0.0
2019-12-31,14125.0,$-63.64,0.0
2019-09-30,17500.0,$-2.57,0.0
2019-06-30,45250.0,$-3.30,0.0
