Hope Bancorp Price to Free Cash Flow Ratio Historical Data,Hope Bancorp Price to Free Cash Flow Ratio Historical Data,Hope Bancorp Price to Free Cash Flow Ratio Historical Data,Hope Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.43,,11.82
2024-12-31,12.29,$0.88,13.92
2024-09-30,12.43,$1.13,11.03
2024-06-30,10.51,$2.20,4.77
2024-03-31,11.11,$3.45,3.23
2023-12-31,11.51,$3.83,3.01
2023-09-30,8.3,$4.14,2.0
2023-06-30,7.79,$3.40,2.29
2023-03-31,8.93,$3.06,2.92
2022-12-31,11.53,$3.95,2.91
2022-09-30,11.25,$3.81,2.96
2022-06-30,12.21,$3.63,3.37
2022-03-31,14.05,$3.62,3.88
2021-12-31,12.74,$2.57,4.95
2021-09-30,12.4,$2.12,5.86
2021-06-30,12.05,$1.64,7.37
2021-03-31,12.68,$1.19,10.66
2020-12-31,9.08,$1.30,6.99
2020-09-30,6.2,$1.22,5.07
2020-06-30,7.42,$1.50,4.95
2020-03-31,6.51,$1.40,4.65
2019-12-31,11.66,$1.40,8.34
2019-09-30,11.14,$1.41,7.92
2019-06-30,10.6,$1.54,6.9
2019-03-31,9.96,$1.81,5.5
2018-12-31,8.94,$1.62,5.54
2018-09-30,12.07,$1.80,6.7
2018-06-30,13.2,$1.51,8.77
2018-03-31,13.37,$1.29,10.37
2017-12-31,13.32,$1.43,9.32
2017-09-30,12.83,$1.91,6.73
2017-06-30,13.41,$1.53,8.76
2017-03-31,13.7,$1.60,8.57
2016-12-31,15.56,$1.12,13.85
2016-09-30,12.26,$0.51,23.87
2016-06-30,10.45,$1.18,8.83
2016-03-31,10.56,$1.06,9.94
2015-12-31,11.89,$1.22,9.74
2015-09-30,10.31,$1.38,7.48
2015-06-30,10.07,$1.39,7.27
2015-03-31,9.79,$1.39,7.04
2014-12-31,9.66,$1.62,5.95
2014-09-30,9.73,$1.53,6.37
2014-06-30,10.56,$1.31,8.04
2014-03-31,11.3,$1.77,6.37
2013-12-31,10.88,$1.58,6.9
2013-09-30,8.97,$1.67,5.37
2013-06-30,9.23,$1.36,6.79
2013-03-31,8.44,$1.03,8.19
2012-12-31,7.45,$1.25,5.96
2012-09-30,8.08,$1.29,6.28
2012-06-30,6.98,$1.89,3.69
2012-03-31,7.14,$2.46,2.9
2011-12-31,6.06,$2.26,2.68
2011-09-30,3.89,$2.03,1.92
2011-06-30,5.21,$2.84,1.84
2011-03-31,6.17,$3.11,1.98
2010-12-31,6.32,$3.50,1.8
2010-09-30,4.52,$3.64,1.24
2010-06-30,5.4,$2.81,1.92
2010-03-31,5.62,$2.10,2.67
2009-12-31,7.27,$1.95,3.72
