Fulgent Genetics Price to Free Cash Flow Ratio Historical Data,Fulgent Genetics Price to Free Cash Flow Ratio Historical Data,Fulgent Genetics Price to Free Cash Flow Ratio Historical Data,Fulgent Genetics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,16.89,,0.0
2024-12-31,18.47,$-0.63,0.0
2024-09-30,21.73,$-0.91,0.0
2024-06-30,19.62,$0.42,47.24
2024-03-31,21.7,$0.63,34.26
2023-12-31,28.91,$0.19,154.6
2023-09-30,26.74,$0.68,39.04
2023-06-30,37.03,$1.07,34.53
2023-03-31,31.22,$1.40,22.23
2022-12-31,29.78,$7.59,3.92
2022-09-30,38.12,$9.08,4.2
2022-06-30,54.53,$13.18,4.14
2022-03-31,62.41,$15.28,4.09
2021-12-31,100.59,$16.62,6.05
2021-09-30,89.95,$18.83,4.78
2021-06-30,92.23,$14.14,6.52
2021-03-31,96.62,$11.56,8.35
2020-12-31,52.1,$4.39,11.88
2020-09-30,40.04,$-0.23,0.0
2020-06-30,16.0,$-0.01,0.0
2020-03-31,10.76,$0.21,51.83
2019-12-31,12.9,$0.23,55.68
2019-09-30,10.39,$0.29,36.01
2019-06-30,6.68,$0.03,218.3
2019-03-31,5.95,$-0.01,0.0
2018-12-31,3.17,$-0.20,0.0
2018-09-30,3.93,$-0.37,0.0
2018-06-30,4.14,$-0.43,0.0
2018-03-31,4.0,$-0.44,0.0
2017-12-31,4.38,$-0.23,0.0
2017-09-30,4.79,$-0.03,0.0
2017-06-30,6.39,$0.08,82.99
