Organigram Holdings Price to Free Cash Flow Ratio Historical Data,Organigram Holdings Price to Free Cash Flow Ratio Historical Data,Organigram Holdings Price to Free Cash Flow Ratio Historical Data,Organigram Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.06,,0.0
2024-12-31,1.61,$-0.10,0.0
2024-09-30,1.81,$-0.00,0.0
2024-06-30,1.54,$-0.56,0.0
2024-03-31,2.15,$-0.35,0.0
2023-12-31,1.31,$-0.51,0.0
2023-09-30,1.32,$-0.61,0.0
2023-05-31,1.48,$-0.47,0.0
2023-02-28,3.16,$-0.89,0.0
2022-11-30,4.12,$-0.74,0.0
2022-08-31,4.28,$-0.86,0.0
2022-05-31,4.6,$-0.68,0.0
2022-02-28,5.96,$-0.56,0.0
2021-11-30,8.16,$-0.62,0.0
2021-08-31,10.68,$-0.48,0.0
2021-05-31,12.84,$-0.61,0.0
2021-02-28,12.12,$-0.58,0.0
2020-11-30,5.64,$-1.23,0.0
2020-08-31,5.04,$-2.04,0.0
2020-05-31,6.96,$-2.79,0.0
2020-02-29,8.8,$-4.50,0.0
