Lightbridge Price to Free Cash Flow Ratio Historical Data,Lightbridge Price to Free Cash Flow Ratio Historical Data,Lightbridge Price to Free Cash Flow Ratio Historical Data,Lightbridge Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.42,,0.0
2024-12-31,4.73,$-0.66,0.0
2024-09-30,2.8,$-0.60,0.0
2024-06-30,3.37,$-0.55,0.0
2024-03-31,2.95,$-0.54,0.0
2023-12-31,3.21,$-0.54,0.0
2023-09-30,4.49,$-0.59,0.0
2023-06-30,5.82,$-0.59,0.0
2023-03-31,4.1,$-0.57,0.0
2022-12-31,3.89,$-0.62,0.0
2022-09-30,4.56,$-0.64,0.0
2022-06-30,4.66,$-0.70,0.0
2022-03-31,8.35,$-0.80,0.0
2021-12-31,6.63,$-1.57,0.0
2021-09-30,4.87,$-1.96,0.0
2021-06-30,7.37,$-2.18,0.0
2021-03-31,6.39,$-2.38,0.0
2020-12-31,4.23,$-2.03,0.0
2020-09-30,4.17,$-2.24,0.0
2020-06-30,4.49,$-2.21,0.0
2020-03-31,1.97,$-2.22,0.0
2019-12-31,4.5,$-2.15,0.0
2019-09-30,8.66,$-2.47,0.0
2019-06-30,7.97,$-2.79,0.0
2019-03-31,6.61,$-2.72,0.0
2018-12-31,6.54,$-3.34,0.0
2018-09-30,11.05,$-3.94,0.0
2018-06-30,12.0,$-4.23,0.0
2018-03-31,14.04,$-5.42,0.0
2017-12-31,14.64,$-5.76,0.0
2017-09-30,13.2,$-9.38,0.0
2017-06-30,20.76,$-11.48,0.0
2017-03-31,15.96,$-12.65,0.0
2016-12-31,13.68,$-15.17,0.0
2016-09-30,20.88,$-13.39,0.0
2016-06-30,27.6,$-12.90,0.0
2016-03-31,33.6,$-12.61,0.0
2015-12-31,60.0,$-12.01,0.0
2015-09-30,49.8,$-11.50,0.0
2015-06-30,67.2,$-12.15,0.0
2015-03-31,74.4,$-14.31,0.0
2014-12-31,93.0,$-16.75,0.0
2014-09-30,138.0,$-15.99,0.0
2014-06-30,166.2,$-18.92,0.0
2014-03-31,161.4,$-18.84,0.0
2013-12-31,87.0,$-18.07,0.0
2013-09-30,107.4,$-22.19,0.0
2013-06-30,103.2,$-19.54,0.0
2013-03-31,104.4,$-22.07,0.0
2012-12-31,84.6,$-24.28,0.0
2012-09-30,121.2,$-19.77,0.0
2012-06-30,121.2,$-19.11,0.0
2012-03-31,192.06,$-20.24,0.0
2011-12-31,122.4,$-19.20,0.0
2011-09-30,154.2,$-19.90,0.0
2011-06-30,215.4,$-24.18,0.0
2011-03-31,346.2,$-11.81,0.0
2010-12-31,321.6,$-11.58,0.0
2010-09-30,354.0,$-14.16,0.0
2010-06-30,492.0,$-13.17,0.0
2010-03-31,489.0,$-14.15,0.0
2009-12-31,359.4,$-15.18,0.0
