GigaMedia Price to Free Cash Flow Ratio Historical Data,GigaMedia Price to Free Cash Flow Ratio Historical Data,GigaMedia Price to Free Cash Flow Ratio Historical Data,GigaMedia Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.6,,0.0
2024-09-30,1.44,$-0.11,0.0
2024-06-30,1.3,$-0.11,0.0
2024-03-31,1.28,$-0.11,0.0
2023-12-31,1.39,$-0.11,0.0
2023-09-30,1.35,$-0.23,0.0
2023-06-30,1.39,$-0.23,0.0
2023-03-31,1.42,$-0.23,0.0
2022-12-31,1.21,$-0.23,0.0
2022-09-30,1.26,$-0.38,0.0
2022-06-30,1.55,$-0.38,0.0
2022-03-31,1.81,$-0.38,0.0
2021-12-31,2.25,$-0.38,0.0
2021-09-30,2.46,$-0.19,0.0
2021-06-30,3.03,$-0.19,0.0
2021-03-31,3.41,$-0.19,0.0
2020-12-31,3.2,$-0.19,0.0
2020-09-30,2.84,$-0.15,0.0
2020-06-30,3.15,$-0.15,0.0
2020-03-31,2.26,$-0.15,0.0
2019-12-31,2.41,$-0.15,0.0
2019-09-30,2.58,$-0.36,0.0
2019-06-30,2.36,$-0.36,0.0
2019-03-31,2.67,$-0.36,0.0
2018-12-31,3.0,$-0.36,0.0
2018-09-30,2.93,$-0.12,0.0
2018-06-30,2.97,$-0.12,0.0
2018-03-31,2.83,$-0.12,0.0
2017-12-31,3.04,$-0.12,0.0
2017-09-30,3.22,$-0.38,0.0
2017-06-30,3.15,$-0.38,0.0
2017-03-31,3.07,$-0.38,0.0
2016-12-31,2.92,$-0.38,0.0
2016-09-30,2.47,$-1.54,0.0
2016-06-30,2.45,$-1.54,0.0
2016-03-31,2.71,$-1.54,0.0
2015-12-31,3.03,$-1.54,0.0
2015-09-30,2.45,$-1.02,0.0
2015-06-30,4.06,$-1.02,0.0
2015-03-31,3.85,$-1.02,0.0
2014-12-31,4.69,$-1.02,0.0
2014-09-30,4.25,$-0.44,0.0
2014-06-30,5.3,$-0.44,0.0
2014-03-31,7.0,$-0.44,0.0
2013-12-31,4.99,$-0.44,0.0
2013-09-30,4.89,$-0.76,0.0
2013-06-30,4.75,$-0.76,0.0
2013-03-31,5.15,$-0.76,0.0
2012-12-31,4.8,$-0.76,0.0
2012-09-30,5.25,$-1.29,0.0
2012-06-30,5.7,$-1.29,0.0
2012-03-31,6.65,$-1.29,0.0
2011-12-31,4.15,$-1.29,0.0
2011-09-30,4.35,$-1.14,0.0
2011-06-30,6.4,$-1.14,0.0
2011-03-31,6.7,$-1.14,0.0
2010-12-31,7.4,$-1.14,0.0
2010-09-30,10.15,$0.24,41.7
2010-06-30,11.9,$0.24,48.89
2010-03-31,15.95,$0.24,65.53
2009-12-31,16.35,$0.24,67.17
