ACRES Commercial Realty Price to Free Cash Flow Ratio Historical Data,ACRES Commercial Realty Price to Free Cash Flow Ratio Historical Data,ACRES Commercial Realty Price to Free Cash Flow Ratio Historical Data,ACRES Commercial Realty Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,23.38,,6.77
2024-09-30,15.66,$3.45,4.54
2024-06-30,12.76,$2.19,5.83
2024-03-31,14.06,$3.91,3.6
2023-12-31,9.62,$5.32,1.81
2023-09-30,8.3,$14.30,0.58
2023-06-30,8.84,$3.16,2.8
2023-03-31,9.72,$3.46,2.81
2022-12-31,8.26,$3.63,2.28
2022-09-30,8.15,$-4.96,0.0
2022-06-30,8.19,$3.27,2.51
2022-03-31,13.41,$3.42,3.92
2021-12-31,12.47,$4.15,3.0
2021-09-30,16.17,$3.76,4.31
2021-06-30,16.06,$4.04,3.97
2021-03-31,14.59,$3.66,3.99
2020-12-31,11.97,$2.96,4.05
2020-09-30,6.27,$3.26,1.92
2020-06-30,7.95,$3.77,2.11
2020-03-31,8.28,$3.95,2.1
2019-12-31,31.97,$4.10,7.79
2019-09-30,30.07,$4.32,6.96
2019-06-30,29.27,$4.15,7.06
2019-03-31,26.96,$3.87,6.97
2018-12-31,24.94,$4.61,5.41
2018-09-30,26.87,$4.71,5.7
2018-06-30,24.57,$19.68,1.25
2018-03-31,22.73,$16.35,1.39
2017-12-31,22.28,$21.47,1.04
2017-09-30,25.49,$18.25,1.4
2017-06-30,23.94,$0.06,369.97
2017-03-31,22.88,$-0.49,0.0
2016-12-31,19.41,$-8.50,0.0
2016-09-30,29.67,$-3.46,0.0
2016-06-30,28.85,$-0.16,0.0
2016-03-31,24.44,$9.58,2.55
2015-12-31,26.73,$6.65,4.02
2015-09-30,22.67,$-2.03,0.0
2015-06-30,29.76,$-5.22,0.0
2015-03-31,33.59,$-12.57,0.0
2014-12-31,36.02,$-6.09,0.0
2014-09-30,33.5,$-2.38,0.0
2014-06-30,37.19,$1.65,22.61
2014-03-31,35.54,$4.05,8.78
2013-12-31,36.51,$4.92,7.43
2013-09-30,35.39,$8.19,4.32
2013-06-30,35.47,$11.66,3.04
2013-03-31,36.9,$12.31,3.0
2012-12-31,30.34,$8.92,3.4
2012-09-30,30.76,$9.31,3.3
2012-06-30,26.98,$3.66,7.38
2012-03-31,26.29,$1.82,14.47
2011-12-31,26.4,$5.60,4.71
2011-09-30,22.55,$2.56,8.8
2011-06-30,27.2,$4.65,5.85
2011-03-31,27.28,$6.13,4.45
2010-12-31,29.45,$5.14,5.73
2010-09-30,24.49,$8.45,2.9
2010-06-30,21.09,$15.81,1.33
2010-03-31,24.09,$17.34,1.39
2009-12-31,16.92,$22.07,0.77
