Hain Celestial Price to Free Cash Flow Ratio Historical Data,Hain Celestial Price to Free Cash Flow Ratio Historical Data,Hain Celestial Price to Free Cash Flow Ratio Historical Data,Hain Celestial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.74,,3.7
2024-12-31,6.15,$1.01,6.08
2024-09-30,8.63,$0.89,9.73
2024-06-30,6.91,$1.03,6.71
2024-03-31,7.86,$0.98,8.02
2023-12-31,10.95,$0.88,12.39
2023-09-30,10.37,$0.75,13.77
2023-06-30,12.51,$0.52,23.92
2023-03-31,17.15,$-0.13,0.0
2022-12-31,16.18,$-0.07,0.0
2022-09-30,16.88,$0.22,75.93
2022-06-30,23.74,$0.56,42.12
2022-03-31,34.4,$1.25,27.5
2021-12-31,42.61,$1.13,37.73
2021-09-30,42.78,$1.26,33.9
2021-06-30,40.12,$1.34,29.98
2021-03-31,43.6,$1.54,28.29
2020-12-31,40.15,$1.78,22.5
2020-09-30,34.3,$1.37,25.12
2020-06-30,31.51,$0.92,34.11
2020-03-31,25.97,$0.30,85.32
2019-12-31,25.96,$-0.07,0.0
2019-09-30,21.48,$-0.11,0.0
2019-06-30,21.9,$-0.35,0.0
2019-03-31,23.12,$-0.10,0.0
2018-12-31,15.86,$0.00,0.0
2018-09-30,27.12,$0.15,186.26
2018-06-30,29.8,$0.43,69.29
2018-03-31,32.07,$0.75,42.74
2017-12-31,42.39,$0.98,43.05
2017-09-30,41.15,$1.74,23.67
2017-06-30,38.82,$1.84,21.1
2017-03-31,37.2,$1.88,19.81
2016-12-31,39.03,$1.65,23.73
2016-09-30,35.58,$1.43,24.87
2016-06-30,49.75,$1.32,37.82
2016-03-31,40.91,$1.71,23.94
2015-12-31,40.39,$1.61,25.07
2015-09-30,51.6,$1.31,39.26
2015-06-30,65.86,$1.34,49.07
2015-03-31,64.05,$0.87,73.44
2014-12-31,58.29,$1.19,49.05
2014-09-30,51.18,$0.91,56.47
2014-06-30,44.37,$1.43,31.0
2014-03-31,45.72,$1.22,37.43
2013-12-31,45.39,$0.67,67.88
2013-09-30,38.56,$0.74,52.42
2013-06-30,32.51,$0.52,62.95
2013-03-31,30.54,$0.60,50.87
2012-12-31,27.11,$1.15,23.56
2012-09-30,31.5,$1.08,29.15
2012-06-30,27.52,$1.11,24.83
2012-03-31,21.91,$0.87,25.15
2011-12-31,18.33,$0.81,22.77
2011-09-30,15.28,$0.93,16.48
2011-06-30,16.68,$0.55,30.45
2011-03-31,16.14,$0.72,22.33
2010-12-31,13.53,$0.73,18.51
2010-09-30,11.99,$0.70,17.1
2010-06-30,10.09,$0.72,14.03
2010-03-31,8.69,$0.73,11.93
2009-12-31,8.51,$0.19,44.79
