HilleVax Price to Free Cash Flow Ratio Historical Data,HilleVax Price to Free Cash Flow Ratio Historical Data,HilleVax Price to Free Cash Flow Ratio Historical Data,HilleVax Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.72,,0.0
2024-09-30,1.76,$-2.63,0.0
2024-06-30,14.46,$-2.75,0.0
2024-03-31,16.63,$-2.87,0.0
2023-12-31,16.05,$-2.40,0.0
2023-09-30,13.45,$-3.21,0.0
2023-06-30,17.19,$-2.74,0.0
2023-03-31,16.53,$-3.03,0.0
