AtlasClear Holdings Price to Free Cash Flow Ratio Historical Data,AtlasClear Holdings Price to Free Cash Flow Ratio Historical Data,AtlasClear Holdings Price to Free Cash Flow Ratio Historical Data,AtlasClear Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.03,,0.61
2024-12-31,0.16,$1.69,0.09
2024-09-30,0.21,$7.65,0.03
2024-06-30,1.04,0,0.0
2024-03-31,1.6,$-367.71,0.0
2023-12-31,6.2,$-9.35,0.0
2023-09-30,10.65,$-9.94,0.0
2023-06-30,10.39,$-9.35,0.0
2023-03-31,10.2,$-11.86,0.0
2022-12-31,10.05,$-5.28,0.0
2022-09-30,9.86,$-1.18,0.0
2022-06-30,9.83,$-5.28,0.0
2022-03-31,9.88,$-4.33,0.0
2021-12-31,9.89,$-10.10,0.0
