XP Price to Free Cash Flow Ratio Historical Data,XP Price to Free Cash Flow Ratio Historical Data,XP Price to Free Cash Flow Ratio Historical Data,XP Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,15.21,,3.89
2024-09-30,17.08,$3.91,4.36
2024-06-30,16.75,$1.90,8.82
2024-03-31,24.43,$0.51,47.62
2023-12-31,24.82,$2.97,8.37
2023-09-30,21.26,$1.96,10.82
2023-06-30,21.14,$2.40,8.79
2023-03-31,10.69,$1.46,7.33
2022-12-31,13.82,$0.59,23.24
2022-09-30,17.13,$0.46,37.56
2022-06-30,16.18,$-0.83,0.0
2022-03-31,27.12,$-1.09,0.0
2021-12-31,25.89,$-1.34,0.0
2021-09-30,36.19,$-1.50,0.0
2021-06-30,39.24,$0.01,0.0
2021-03-31,33.94,$0.65,52.51
2020-12-31,35.74,$0.47,75.44
2020-09-30,37.56,$0.26,146.5
