Spok Holdings Price to Free Cash Flow Ratio Historical Data,Spok Holdings Price to Free Cash Flow Ratio Historical Data,Spok Holdings Price to Free Cash Flow Ratio Historical Data,Spok Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,15.91,,12.72
2024-12-31,16.05,$1.25,12.84
2024-09-30,14.78,$1.41,10.45
2024-06-30,14.23,$1.04,13.66
2024-03-31,15.02,$1.08,13.95
2023-12-31,14.31,$1.12,12.79
2023-09-30,12.94,$0.82,15.77
2023-06-30,11.78,$0.96,12.33
2023-03-31,8.76,$0.51,17.01
2022-12-31,6.86,$0.13,51.15
2022-09-30,6.16,$-0.38,0.0
2022-06-30,4.87,$-0.53,0.0
2022-03-31,5.91,$-0.51,0.0
2021-12-31,6.65,$-0.37,0.0
2021-09-30,7.2,$-0.01,0.0
2021-06-30,6.66,$0.44,15.25
2021-03-31,7.18,$0.53,13.66
2020-12-31,7.54,$0.60,12.52
2020-09-30,6.36,$0.53,11.98
2020-06-30,6.18,$0.43,14.52
2020-03-31,6.98,$0.29,24.35
2019-12-31,7.88,$0.36,21.94
2019-09-30,7.61,$0.22,34.41
2019-06-30,9.59,$-0.01,0.0
2019-03-31,8.62,$0.23,37.26
2018-12-31,8.31,$0.22,37.17
2018-09-30,9.57,$0.31,31.14
2018-06-30,9.28,$0.37,24.94
2018-03-31,9.15,$0.26,35.02
2017-12-31,9.49,$0.31,30.44
2017-09-30,9.24,$0.65,14.17
2017-06-30,10.57,$0.77,13.79
2017-03-31,11.27,$1.17,9.63
2016-12-31,12.22,$1.52,8.04
2016-09-30,10.3,$1.51,6.83
2016-06-30,10.99,$1.47,7.48
2016-03-31,9.96,$1.83,5.43
2015-12-31,10.35,$1.69,6.12
2015-09-30,9.16,$1.80,5.1
2015-06-30,9.31,$2.00,4.64
2015-03-31,10.52,$1.58,6.67
2014-12-31,9.46,$1.57,6.03
2014-09-30,7.04,$1.57,4.49
2014-06-30,8.26,$1.62,5.1
2014-03-31,9.66,$1.46,6.61
2013-12-31,7.53,$1.83,4.11
2013-09-30,7.4,$2.21,3.35
2013-06-30,7.03,$2.33,3.02
2013-03-31,6.82,$2.79,2.44
2012-12-31,5.94,$2.82,2.1
2012-09-30,5.97,$2.89,2.06
2012-06-30,6.39,$3.31,1.93
2012-03-31,6.79,$3.45,1.97
2011-12-31,6.64,$3.31,2.0
2011-09-30,6.21,$3.02,2.05
2011-06-30,7.06,$2.78,2.54
2011-03-31,6.6,$2.93,2.25
2010-12-31,7.94,$3.14,2.53
2010-09-30,6.64,$3.47,1.91
2010-06-30,5.26,$3.49,1.51
2010-03-31,5.07,$3.45,1.47
2009-12-31,4.32,$3.65,1.19
