Edwards Lifesciences Price to Free Cash Flow Ratio Historical Data,Edwards Lifesciences Price to Free Cash Flow Ratio Historical Data,Edwards Lifesciences Price to Free Cash Flow Ratio Historical Data,Edwards Lifesciences Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,70.95,,146.68
2024-12-31,74.03,$0.48,153.05
2024-09-30,65.99,$0.86,76.69
2024-06-30,92.37,$0.94,98.15
2024-03-31,95.56,$0.44,214.93
2023-12-31,76.25,$1.05,72.29
2023-09-30,69.28,$1.32,52.54
2023-06-30,94.33,$1.14,82.96
2023-03-31,82.73,$1.62,50.98
2022-12-31,74.61,$1.56,47.83
2022-09-30,82.63,$1.67,49.55
2022-06-30,95.09,$2.01,47.37
2022-03-31,117.72,$2.27,51.85
2021-12-31,129.55,$2.23,58.15
2021-09-30,113.21,$2.23,50.77
2021-06-30,103.57,$1.66,62.44
2021-03-31,83.64,$1.14,73.64
2020-12-31,91.23,$1.02,89.06
2020-09-30,79.82,$1.09,73.13
2020-06-30,69.11,$1.49,46.47
2020-03-31,62.87,$1.72,36.58
2019-12-31,77.76,$1.46,53.32
2019-09-30,73.3,$1.30,56.21
2019-06-30,61.58,$1.14,54.03
2019-03-31,63.78,$0.84,75.74
2018-12-31,51.06,$1.07,47.56
2018-09-30,58.03,$1.19,48.74
2018-06-30,48.52,$1.20,40.42
2018-03-31,46.51,$1.28,36.34
2017-12-31,37.57,$1.29,29.23
2017-09-30,36.44,$1.01,35.92
2017-06-30,39.41,$0.84,46.85
2017-03-31,31.36,$0.86,36.46
2016-12-31,31.23,$0.81,38.63
2016-09-30,40.19,$0.70,57.74
2016-06-30,33.24,$0.72,45.94
2016-03-31,29.4,$0.72,40.92
2015-12-31,26.33,$0.68,38.92
2015-09-30,23.7,$0.67,35.32
2015-06-30,23.74,$0.38,62.24
2015-03-31,23.74,$1.34,17.78
2014-12-31,21.23,$1.45,14.66
2014-09-30,17.03,$1.49,11.44
2014-06-30,14.31,$1.68,8.54
2014-03-31,12.36,$0.64,19.45
2013-12-31,10.96,$0.54,20.45
2013-09-30,11.61,$0.50,23.03
2013-06-30,11.2,$0.49,22.89
2013-03-31,13.69,$0.52,26.25
2012-12-31,15.03,$0.36,41.65
2012-09-30,17.9,$0.35,50.77
2012-06-30,17.22,$0.34,50.34
2012-03-31,12.12,$0.26,46.89
2011-12-31,11.78,$0.33,35.85
2011-09-30,11.88,$0.34,35.14
2011-06-30,14.53,$0.31,46.6
2011-03-31,14.5,$0.27,54.55
2010-12-31,13.47,$0.27,49.12
2010-09-30,11.18,$0.24,46.7
2010-06-30,9.34,$0.30,31.44
2010-03-31,8.24,$0.32,25.66
2009-12-31,7.24,$0.28,25.61
