Clearwater Paper Price to Free Cash Flow Ratio Historical Data,Clearwater Paper Price to Free Cash Flow Ratio Historical Data,Clearwater Paper Price to Free Cash Flow Ratio Historical Data,Clearwater Paper Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,24.54,,0.0
2024-12-31,29.77,$-3.30,0.0
2024-09-30,28.54,$3.28,8.7
2024-06-30,48.47,$9.50,5.1
2024-03-31,43.73,$11.24,3.89
2023-12-31,36.12,$7.03,5.14
2023-09-30,36.25,$4.71,7.7
2023-06-30,31.32,$0.71,43.98
2023-03-31,33.42,$3.04,10.98
2022-12-31,37.81,$6.78,5.57
2022-09-30,37.6,$8.03,4.68
2022-06-30,33.63,$8.07,4.17
2022-03-31,28.03,$4.07,6.89
2021-12-31,36.67,$3.46,10.6
2021-09-30,38.33,$5.58,6.87
2021-06-30,28.97,$7.87,3.68
2021-03-31,37.62,$13.67,2.75
2020-12-31,37.75,$12.40,3.04
2020-09-30,37.94,$12.33,3.08
2020-06-30,36.13,$6.70,5.39
2020-03-31,21.81,$1.06,20.59
2019-12-31,21.36,$-5.11,0.0
2019-09-30,21.12,$-17.36,0.0
2019-06-30,18.49,$-15.31,0.0
2019-03-31,19.48,$-12.73,0.0
2018-12-31,24.37,$-7.69,0.0
2018-09-30,29.7,$-1.12,0.0
2018-06-30,23.1,$-0.40,0.0
2018-03-31,39.1,$-2.53,0.0
2017-12-31,45.4,$-1.27,0.0
2017-09-30,49.25,$-0.00,0.0
2017-06-30,46.75,$-0.17,0.0
2017-03-31,56.0,$0.19,296.77
2016-12-31,65.55,$1.02,64.44
2016-09-30,64.67,$2.07,31.26
2016-06-30,65.37,$2.23,29.35
2016-03-31,48.51,$2.52,19.23
2015-12-31,45.53,$1.67,27.31
2015-09-30,47.24,$1.47,32.09
2015-06-30,57.3,$0.97,58.79
2015-03-31,65.3,$1.59,41.09
2014-12-31,68.55,$2.34,29.33
2014-09-30,60.11,$2.80,21.43
2014-06-30,61.72,$5.54,11.14
2014-03-31,62.67,$3.23,19.38
2013-12-31,52.5,$2.06,25.54
2013-09-30,47.77,$1.24,38.67
2013-06-30,47.06,$-0.10,0.0
2013-03-31,52.69,$-0.30,0.0
2012-12-31,39.16,$-0.17,0.0
2012-09-30,41.31,$-1.31,0.0
2012-06-30,34.12,$-1.88,0.0
2012-03-31,33.21,$-2.98,0.0
2011-12-31,35.61,$-2.21,0.0
2011-09-30,33.98,$-1.81,0.0
2011-06-30,34.14,$-1.27,0.0
2011-03-31,40.7,$3.74,10.88
2010-12-31,39.15,$5.89,6.64
2010-09-30,38.04,$8.64,4.4
2010-06-30,27.38,$10.96,2.5
2010-03-31,24.63,$10.16,2.42
2009-12-31,27.49,$8.73,3.15
