Ebang Holdings Price to Free Cash Flow Ratio Historical Data,Ebang Holdings Price to Free Cash Flow Ratio Historical Data,Ebang Holdings Price to Free Cash Flow Ratio Historical Data,Ebang Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.25,,inf
2023-12-31,15.3,0.0,0.0
2023-06-30,6.9,0.0,0.0
2022-12-31,2.91,0.0,0.0
2022-06-30,12.03,0.0,0.0
2021-12-31,30.9,0.0,0.0
