Floor & Decor Holdings Price to Free Cash Flow Ratio Historical Data,Floor & Decor Holdings Price to Free Cash Flow Ratio Historical Data,Floor & Decor Holdings Price to Free Cash Flow Ratio Historical Data,Floor & Decor Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,83.95,,58.17
2024-12-31,99.7,$1.44,69.08
2024-09-30,124.17,$1.14,109.03
2024-06-30,99.41,$1.61,61.7
2024-03-31,129.62,$1.67,77.42
2023-12-31,111.56,$2.37,47.02
2023-09-30,90.5,$2.37,38.12
2023-06-30,103.96,$0.55,188.2
2023-03-31,98.22,$-1.16,0.0
2022-12-31,69.63,$-3.16,0.0
2022-09-30,70.26,$-4.69,0.0
2022-06-30,62.96,$-4.03,0.0
2022-03-31,81.0,$-2.47,0.0
2021-12-31,130.01,$-0.99,0.0
2021-09-30,120.79,$1.13,106.7
2021-06-30,105.7,$2.69,39.22
2021-03-31,95.48,$2.47,38.66
2020-12-31,92.85,$1.83,50.87
2020-09-30,74.8,$0.93,80.02
2020-06-30,57.65,$-0.05,0.0
2020-03-31,32.09,$-0.00,0.0
2019-12-31,50.81,$0.08,616.63
2019-09-30,51.15,$0.65,78.55
2019-06-30,41.9,$0.55,75.96
2019-03-31,41.22,$0.16,255.87
2018-12-31,25.9,$0.33,79.13
2018-09-30,30.17,$0.27,111.49
2018-06-30,49.33,$0.06,890.43
2018-03-31,52.12,$0.19,271.74
