Barfresh Food Group Price to Free Cash Flow Ratio Historical Data,Barfresh Food Group Price to Free Cash Flow Ratio Historical Data,Barfresh Food Group Price to Free Cash Flow Ratio Historical Data,Barfresh Food Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.47,,0.0
2024-09-30,2.91,$-0.18,0.0
2024-06-30,3.66,$-0.17,0.0
2024-03-31,1.2,$-0.18,0.0
2023-12-31,1.59,$-0.22,0.0
2023-09-30,1.91,$-0.16,0.0
2023-06-30,1.5,$-0.21,0.0
2023-03-31,1.38,$-0.21,0.0
2022-12-31,1.3,$-0.21,0.0
