Kellanova Price to Free Cash Flow Ratio Historical Data,Kellanova Price to Free Cash Flow Ratio Historical Data,Kellanova Price to Free Cash Flow Ratio Historical Data,Kellanova Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,82.33,,25.17
2024-12-31,80.97,$3.27,24.76
2024-09-30,80.14,$2.68,29.95
2024-06-30,56.87,$3.21,17.72
2024-03-31,56.49,$3.21,17.62
2023-12-31,54.57,$2.81,19.43
2023-09-30,57.47,$3.56,16.15
2023-06-30,64.46,$2.69,23.95
2023-03-31,63.48,$3.04,20.89
2022-12-31,66.94,$3.38,19.8
2022-09-30,64.93,$3.60,18.03
2022-06-30,65.96,$3.78,17.43
2022-03-31,59.13,$3.71,15.94
2021-12-31,58.54,$3.34,17.54
2021-09-30,57.54,$2.78,20.7
2021-06-30,57.38,$3.24,17.73
2021-03-31,55.96,$3.66,15.28
2020-12-31,54.47,$4.29,12.69
2020-09-30,56.04,$3.95,14.18
2020-06-30,56.86,$3.24,17.55
2020-03-31,51.19,$2.76,18.56
2019-12-31,58.48,$1.72,34.0
2019-09-30,53.94,$2.64,20.4
2019-06-30,44.5,$2.91,15.31
2019-03-31,47.17,$2.25,20.97
2018-12-31,46.39,$2.75,16.85
2018-09-30,56.47,$1.79,31.6
2018-06-30,55.92,$0.73,76.75
2018-03-31,51.59,$0.46,112.36
2017-12-31,53.52,$-0.28,0.0
2017-09-30,48.71,$-0.19,0.0
2017-06-30,53.81,$0.53,101.31
2017-03-31,55.84,$2.09,26.76
2016-12-31,56.29,$2.16,26.08
2016-09-30,58.75,$3.39,17.33
2016-06-30,61.53,$3.41,18.02
2016-03-31,57.3,$2.77,20.67
2015-12-31,53.73,$3.20,16.81
2015-09-30,49.12,$2.71,18.13
2015-06-30,45.94,$3.09,14.86
2015-03-31,47.94,$2.93,16.39
2014-12-31,47.22,$3.36,14.04
2014-09-30,44.11,$2.67,16.52
2014-06-30,46.7,$3.12,14.99
2014-03-31,44.27,$3.03,14.6
2013-12-31,42.79,$3.21,13.35
2013-09-30,40.85,$3.12,13.09
2013-06-30,44.33,$3.21,13.8
2013-03-31,44.16,$3.28,13.48
2012-12-31,38.01,$3.40,11.17
2012-09-30,34.88,$3.43,10.16
2012-06-30,33.02,$3.11,10.61
2012-03-31,35.59,$2.96,12.03
2011-12-31,33.28,$2.75,12.1
2011-09-30,34.7,$1.63,21.3
2011-06-30,35.8,$1.35,26.47
2011-03-31,34.69,$1.48,23.43
2010-12-31,32.57,$1.41,23.06
2010-09-30,31.95,$2.95,10.83
2010-06-30,31.56,$3.06,10.31
2010-03-31,33.29,$3.34,9.96
2009-12-31,32.91,$3.30,9.98
