Meta Platforms Price to Free Cash Flow Ratio Historical Data,Meta Platforms Price to Free Cash Flow Ratio Historical Data,Meta Platforms Price to Free Cash Flow Ratio Historical Data,Meta Platforms Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,586.0,,28.33
2024-12-31,585.51,$20.69,28.31
2024-09-30,571.98,$20.13,28.42
2024-06-30,503.34,$18.95,26.56
2024-03-31,484.26,$18.89,25.63
2023-12-31,352.62,$16.76,21.04
2023-09-30,299.07,$14.23,21.02
2023-06-30,285.89,$9.21,31.03
2023-03-31,211.14,$6.71,31.48
2022-12-31,119.88,$7.14,16.79
2022-09-30,135.17,$9.58,14.11
2022-06-30,160.64,$12.86,12.49
2022-03-31,221.52,$14.11,15.7
2021-12-31,335.08,$13.68,24.49
2021-09-30,338.1,$12.50,27.06
2021-06-30,346.39,$11.15,31.06
2021-03-31,293.41,$8.35,35.13
2020-12-31,272.12,$8.18,33.26
2020-09-30,260.91,$6.64,39.28
2020-06-30,226.21,$6.54,34.59
2020-03-31,166.17,$8.06,20.61
2019-12-31,204.47,$7.38,27.72
2019-09-30,177.41,$6.77,26.2
2019-06-30,192.27,$6.20,31.0
2019-03-31,166.06,$5.45,30.46
2018-12-31,130.59,$5.26,24.84
2018-09-30,163.84,$5.96,27.47
2018-06-30,193.58,$6.00,32.29
2018-03-31,159.18,$6.34,25.1
2017-12-31,175.79,$5.91,29.72
2017-09-30,170.22,$5.34,31.86
2017-06-30,150.41,$4.87,30.92
2017-03-31,141.51,$4.45,31.8
2016-12-31,114.61,$3.97,28.86
2016-09-30,127.78,$4.07,31.39
2016-06-30,113.85,$3.56,31.96
2016-03-31,113.67,$3.12,36.46
2015-12-31,104.26,$2.73,38.15
2015-09-30,89.39,$2.47,36.18
2015-06-30,85.44,$2.26,37.74
2015-03-31,81.9,$2.13,38.42
2014-12-31,77.72,$2.06,37.68
2014-09-30,78.74,$1.27,62.04
2014-06-30,67.04,$1.24,53.87
2014-03-31,60.01,$1.33,45.03
2013-12-31,54.44,$1.14,47.91
2013-09-30,50.04,$1.03,48.6
2013-06-30,24.79,$0.83,29.98
2013-03-31,25.48,$0.31,82.93
