Stag Industrial Price to Free Cash Flow Ratio Historical Data,Stag Industrial Price to Free Cash Flow Ratio Historical Data,Stag Industrial Price to Free Cash Flow Ratio Historical Data,Stag Industrial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,35.14,,0.0
2024-12-31,33.82,$-1.03,0.0
2024-09-30,38.83,$0.09,432.42
2024-06-30,35.49,$-0.43,0.0
2024-03-31,37.57,$0.14,263.3
2023-12-31,38.0,$0.47,80.87
2023-09-30,33.06,$0.67,49.12
2023-06-30,34.02,$1.47,23.14
2023-03-31,31.73,$0.68,46.41
2022-12-31,29.99,$-0.06,0.0
2022-09-30,26.09,$-3.06,0.0
2022-06-30,28.0,$-4.92,0.0
2022-03-31,37.11,$-4.67,0.0
2021-12-31,42.66,$-4.43,0.0
2021-09-30,34.63,$-3.62,0.0
2021-06-30,32.74,$-1.83,0.0
2021-03-31,29.11,$-1.34,0.0
2020-12-31,26.82,$-1.01,0.0
2020-09-30,25.8,$-1.69,0.0
2020-06-30,24.54,$-3.43,0.0
2020-03-31,18.6,$-5.00,0.0
2019-12-31,25.74,$-6.24,0.0
2019-09-30,23.76,$-3.88,0.0
2019-06-30,24.08,$-3.34,0.0
2019-03-31,23.33,$-2.93,0.0
2018-12-31,19.33,$-1.87,0.0
2018-09-30,21.17,$-2.21,0.0
2018-06-30,20.69,$-1.47,0.0
2018-03-31,17.93,$-2.65,0.0
2017-12-31,20.19,$-3.51,0.0
2017-09-30,20.03,$-3.62,0.0
2017-06-30,19.87,$-4.74,0.0
2017-03-31,17.78,$-2.85,0.0
2016-12-31,16.73,$-1.70,0.0
2016-09-30,16.92,$-1.99,0.0
2016-06-30,16.21,$-1.15,0.0
2016-03-31,13.64,$-1.56,0.0
2015-12-31,12.12,$-2.49,0.0
2015-09-30,11.76,$-2.95,0.0
2015-06-30,12.67,$-4.25,0.0
2015-03-31,14.67,$-4.46,0.0
2014-12-31,15.07,$-4.37,0.0
2014-09-30,12.57,$-3.90,0.0
2014-06-30,14.36,$-3.01,0.0
2014-03-31,14.23,$-3.42,0.0
2013-12-31,11.87,$-3.92,0.0
2013-09-30,11.55,$-9.45,0.0
2013-06-30,11.28,$-9.35,0.0
2013-03-31,11.85,$-10.26,0.0
2012-12-31,9.87,$-10.80,0.0
2012-09-30,8.8,$-5.70,0.0
2012-06-30,7.76,$-6.61,0.0
2012-03-31,7.29,$-5.16,0.0
