Agrify Price to Free Cash Flow Ratio Historical Data,Agrify Price to Free Cash Flow Ratio Historical Data,Agrify Price to Free Cash Flow Ratio Historical Data,Agrify Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,19.3,,0.0
2024-09-30,0.23,$-79.14,0.0
2024-06-30,0.45,$-199.32,0.0
2024-03-31,0.37,$-177.97,0.0
2023-12-31,1.26,$-308.95,0.0
2023-09-30,2.17,"$1,415.80",0.0
2023-06-30,0.19,$847.20,0.0
2023-03-31,0.17,"$-1,874.67",0.0
2022-12-31,0.33,"$-5,761.65",0.0
2022-09-30,0.44,"$-9,445.46",0.0
2022-06-30,1.97,"$-9,588.22",0.0
2022-03-31,4.63,"$-7,164.78",0.0
2021-12-31,9.2,"$-5,068.13",0.0
