F&G Annuities & Life Price to Free Cash Flow Ratio Historical Data,F&G Annuities & Life Price to Free Cash Flow Ratio Historical Data,F&G Annuities & Life Price to Free Cash Flow Ratio Historical Data,F&G Annuities & Life Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,36.44,,0.8
2024-12-31,41.44,$45.61,0.91
2024-09-30,44.72,$55.68,0.8
2024-06-30,38.05,$44.08,0.86
2024-03-31,40.55,$47.13,0.86
2023-12-31,46.0,$46.83,0.98
2023-09-30,28.06,$53.84,0.52
