Accenture Price to Free Cash Flow Ratio Historical Data,Accenture Price to Free Cash Flow Ratio Historical Data,Accenture Price to Free Cash Flow Ratio Historical Data,Accenture Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,300.91,,21.13
2024-11-30,362.37,$14.24,25.44
2024-08-31,340.55,$13.55,25.14
2024-05-31,279.93,$13.62,20.56
2024-02-29,370.17,$13.78,26.86
2023-11-30,327.85,$14.14,23.18
2023-08-31,317.31,$14.09,22.52
2023-05-31,298.75,$14.63,20.43
2023-02-28,258.31,$14.20,18.19
2022-11-30,291.56,$13.80,21.12
2022-08-31,278.24,$13.73,20.27
2022-05-31,286.86,$11.53,24.88
2022-02-28,302.83,$10.52,28.8
2021-11-30,341.61,$11.20,30.49
2021-08-31,320.75,$13.00,24.68
2021-05-31,268.15,$14.15,18.95
2021-02-28,237.71,$14.70,16.17
2020-11-30,235.19,$13.03,18.06
2020-08-31,225.67,$11.76,19.2
2020-05-31,188.95,$10.08,18.75
2020-02-29,168.45,$9.10,18.51
2019-11-30,186.91,$8.88,21.05
2019-08-31,183.35,$9.27,19.78
2019-05-31,164.75,$9.34,17.65
2019-02-28,148.09,$9.06,16.35
2018-11-30,150.97,$8.38,18.02
2018-08-31,153.73,$8.25,18.63
2018-05-31,141.61,$7.94,17.84
2018-02-28,145.1,$7.69,18.88
2017-11-30,133.39,$6.57,20.29
2017-08-31,116.71,$6.75,17.29
2017-05-31,111.1,$6.97,15.94
2017-02-28,108.21,$6.70,16.14
2016-11-30,105.5,$6.94,15.2
2016-08-31,100.55,$6.25,16.08
2016-05-31,104.02,$5.53,18.83
2016-02-29,86.83,$5.19,16.73
2015-11-30,92.85,$5.19,17.88
2015-08-31,80.77,$5.58,14.48
2015-05-31,82.29,$5.69,14.46
2015-02-28,76.32,$5.62,13.57
2014-11-30,73.18,$5.61,13.05
2014-08-31,67.8,$4.58,14.81
2014-05-31,68.13,$4.00,17.02
2014-02-28,68.9,$4.14,16.66
2013-11-30,64.04,$4.58,13.97
2013-08-31,58.95,$4.14,14.25
2013-05-31,66.99,$4.68,14.31
2013-02-28,60.04,$4.24,14.17
2012-11-30,54.84,$4.54,12.09
2012-08-31,49.16,$5.35,9.19
2012-05-31,45.57,$4.83,9.43
2012-02-29,47.02,$4.95,9.5
2011-11-30,45.75,$4.60,9.96
2011-08-31,41.83,$4.10,10.21
2011-05-31,44.8,$3.91,11.46
2011-02-28,39.87,$3.43,11.63
2010-11-30,33.55,$3.53,9.51
2010-08-31,28.06,$3.73,7.53
2010-05-31,28.77,$3.45,8.33
2010-02-28,30.38,$3.52,8.64
2009-11-30,31.2,$3.95,7.89
