Aurora Cannabis Price to Free Cash Flow Ratio Historical Data,Aurora Cannabis Price to Free Cash Flow Ratio Historical Data,Aurora Cannabis Price to Free Cash Flow Ratio Historical Data,Aurora Cannabis Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.57,,0.0
2024-12-31,4.25,$-0.53,0.0
2024-09-30,5.88,$-0.65,0.0
2024-06-30,4.62,$-0.92,0.0
2024-03-31,4.39,$-1.26,0.0
2023-12-31,4.76,$-1.75,0.0
2023-09-30,5.85,$0.27,21.93
2023-06-30,5.35,$0.02,228.46
2022-12-31,9.23,$-1.02,0.0
2022-09-30,12.2,$10.04,1.21
2022-03-31,40.0,$5.98,6.69
2021-12-31,54.1,$5.78,9.35
2021-09-30,69.2,$44.48,1.56
2021-03-31,93.1,$27.95,3.33
2020-12-31,83.1,$8.83,9.41
2020-09-30,46.5,$31.23,1.49
2020-03-31,108.71,$-18.75,0.0
2019-12-31,259.2,$-38.79,0.0
