Optical Cable Price to Free Cash Flow Ratio Historical Data,Optical Cable Price to Free Cash Flow Ratio Historical Data,Optical Cable Price to Free Cash Flow Ratio Historical Data,Optical Cable Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.37,,15.4
2025-01-31,4.93,$0.22,22.52
2024-10-31,2.45,$-0.16,0.0
2024-07-31,2.75,$0.10,28.92
2024-04-30,2.8,$0.09,32.07
2024-01-31,2.67,$-0.07,0.0
2023-10-31,2.71,$-0.12,0.0
2023-07-31,3.69,$-0.16,0.0
2023-04-30,4.19,$-0.05,0.0
2023-01-31,4.09,$-0.08,0.0
2022-10-31,3.57,$-0.25,0.0
2022-07-31,3.66,$0.05,77.05
2022-04-30,3.65,$-0.10,0.0
2022-01-31,4.72,$-0.07,0.0
2021-10-31,3.86,$0.26,15.02
2021-07-31,4.48,$-0.20,0.0
2021-04-30,3.4,$-0.44,0.0
2021-01-31,3.24,$-0.50,0.0
2020-10-31,2.67,$-0.50,0.0
2020-07-31,2.4,$-0.38,0.0
2020-04-30,2.46,$-0.10,0.0
2020-01-31,3.46,$0.16,21.88
2019-10-31,2.95,$-0.10,0.0
2019-07-31,3.76,$0.19,19.68
2019-04-30,4.94,$0.63,7.8
2019-01-31,3.61,$0.19,19.23
2018-10-31,4.75,$0.33,14.33
2018-07-31,3.8,$0.09,41.3
2018-04-30,2.8,$-0.50,0.0
2018-01-31,2.35,$-0.21,0.0
2017-10-31,2.45,$-0.18,0.0
2017-07-31,2.3,$-0.01,0.0
2017-04-30,2.95,$0.28,10.71
2017-01-31,3.27,$0.42,7.81
2016-10-31,2.8,$0.40,7.08
2016-07-31,2.2,$0.16,13.53
2016-04-30,2.51,$-0.07,0.0
2016-01-31,2.4,$-0.33,0.0
2015-10-31,3.13,$-0.31,0.0
2015-07-31,3.37,$-0.05,0.0
2015-04-30,4.04,$0.07,53.95
2015-01-31,5.12,$0.08,61.13
2014-10-31,4.51,$0.23,19.53
2014-07-31,4.2,$0.31,13.36
2014-04-30,3.61,$0.10,35.3
2014-01-31,3.79,$0.20,18.97
2013-10-31,3.69,$0.09,43.04
2013-07-31,4.21,$-0.19,0.0
2013-04-30,3.98,$0.05,87.21
2013-01-31,3.94,$0.15,27.16
2012-10-31,3.91,$0.08,48.76
2012-07-31,3.46,$0.23,15.17
2012-04-30,2.95,$0.01,0.0
2012-01-31,3.29,$-0.06,0.0
2011-10-31,3.32,$0.14,23.4
2011-07-31,3.72,$0.15,25.14
2011-04-30,4.13,$0.49,8.51
2011-01-31,5.6,$0.51,11.07
2010-10-31,2.95,$0.11,27.41
2010-07-31,2.74,$0.07,37.88
2010-04-30,2.89,$0.09,30.53
2010-01-31,3.21,$-0.11,0.0
2009-10-31,2.75,$0.37,7.43
