American Strategic Investment Price to Free Cash Flow Ratio Historical Data,American Strategic Investment Price to Free Cash Flow Ratio Historical Data,American Strategic Investment Price to Free Cash Flow Ratio Historical Data,American Strategic Investment Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.56,,0.0
2024-12-31,8.49,$-2.13,0.0
2024-09-30,9.24,$-1.10,0.0
2024-06-30,9.57,$-2.03,0.0
2024-03-31,6.35,$-3.10,0.0
2023-12-31,7.97,$-5.15,0.0
2023-09-30,9.1,$-5.73,0.0
2023-06-30,7.91,$-6.76,0.0
2023-03-31,8.52,$-6.06,0.0
2022-12-31,1.77,$-3.49,0.0
2022-09-30,3.23,$-3.99,0.0
2022-06-30,5.25,$-2.67,0.0
2022-03-31,13.09,$-7.21,0.0
2021-12-31,10.43,$-6.96,0.0
2021-09-30,7.83,$-8.96,0.0
2021-06-30,12.62,$-14.93,0.0
