WhiteHorse Finance Price to Free Cash Flow Ratio Historical Data,WhiteHorse Finance Price to Free Cash Flow Ratio Historical Data,WhiteHorse Finance Price to Free Cash Flow Ratio Historical Data,WhiteHorse Finance Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.25,,3.02
2024-12-31,9.68,$3.39,2.86
2024-09-30,11.33,$3.16,3.58
2024-06-30,11.64,$4.35,2.67
2024-03-31,11.41,$3.02,3.78
2023-12-31,10.97,$3.89,2.82
2023-09-30,11.06,$3.55,3.12
2023-06-30,10.8,$1.72,6.26
2023-03-31,10.24,$3.39,3.02
2022-12-31,10.31,$3.10,3.33
2022-09-30,8.49,$-2.59,0.0
2022-06-30,9.79,$-3.47,0.0
2022-03-31,10.92,$-6.83,0.0
2021-12-31,10.96,$-4.26,0.0
2021-09-30,10.43,$-3.28,0.0
2021-06-30,9.99,$-3.83,0.0
2021-03-31,9.94,$-0.69,0.0
2020-12-31,8.71,$-3.14,0.0
2020-09-30,6.03,$-1.22,0.0
2020-06-30,6.13,$-0.11,0.0
2020-03-31,4.09,$-4.38,0.0
2019-12-31,7.59,$-4.62,0.0
2019-09-30,7.42,$-0.51,0.0
2019-06-30,7.14,$1.54,4.64
2019-03-31,7.19,$2.66,2.7
2018-12-31,6.28,$1.51,4.15
2018-09-30,6.87,$0.06,119.62
2018-06-30,6.99,$-1.03,0.0
2018-03-31,5.85,$0.38,15.36
2017-12-31,6.15,$0.37,16.66
2017-09-30,6.59,$0.47,14.05
2017-06-30,5.83,$1.29,4.53
2017-03-31,5.87,$1.48,3.98
2016-12-31,5.05,$1.86,2.71
2016-09-30,4.41,$-1.64,0.0
2016-06-30,4.23,$-2.10,0.0
2016-03-31,3.92,$-1.59,0.0
2015-12-31,4.19,$-0.59,0.0
2015-09-30,4.12,$-1.94,0.0
2015-06-30,4.37,$-1.54,0.0
2015-03-31,4.17,$-6.12,0.0
2014-12-31,3.77,$-9.33,0.0
2014-09-30,4.19,$-4.06,0.0
2014-06-30,4.42,$-5.22,0.0
2014-03-31,4.24,$-2.16,0.0
2013-12-31,4.44,$-0.89,0.0
2013-09-30,4.33,$-1.62,0.0
