American Axle & Manufacturing Holdings Price to Free Cash Flow Ratio Historical Data,American Axle & Manufacturing Holdings Price to Free Cash Flow Ratio Historical Data,American Axle & Manufacturing Holdings Price to Free Cash Flow Ratio Historical Data,American Axle & Manufacturing Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.64,,2.62
2024-12-31,5.83,$1.77,3.29
2024-09-30,6.18,$1.13,5.45
2024-06-30,6.99,$1.65,4.23
2024-03-31,7.36,$1.61,4.57
2023-12-31,8.81,$1.72,5.13
2023-09-30,7.26,$2.55,2.84
2023-06-30,8.27,$1.76,4.7
2023-03-31,7.81,$1.90,4.11
2022-12-31,7.82,$2.41,3.25
2022-09-30,6.83,$1.94,3.53
2022-06-30,7.53,$2.11,3.56
2022-03-31,7.76,$2.30,3.37
2021-12-31,9.33,$3.15,2.96
2021-09-30,8.81,$4.05,2.17
2021-06-30,10.35,$5.40,1.92
2021-03-31,9.66,$2.73,3.53
2020-12-31,8.34,$2.13,3.92
2020-09-30,5.77,$1.66,3.49
2020-06-30,7.6,$1.09,6.99
2020-03-31,3.61,$3.60,1.0
2019-12-31,10.76,$1.16,9.27
2019-09-30,8.22,$1.55,5.3
2019-06-30,12.76,$1.22,10.42
2019-03-31,14.31,$1.01,14.21
2018-12-31,11.1,$2.25,4.93
2018-09-30,17.44,$1.47,11.87
2018-06-30,15.56,$1.07,14.48
2018-03-31,15.22,$0.63,24.03
2017-12-31,17.03,$1.54,11.05
2017-09-30,17.58,$1.81,9.72
2017-06-30,15.6,$1.96,7.96
2017-03-31,18.78,$3.01,6.24
2016-12-31,19.3,$2.36,8.17
2016-09-30,17.22,$2.36,7.29
2016-06-30,14.48,$2.61,5.55
2016-03-31,15.39,$2.59,5.93
2015-12-31,18.94,$2.42,7.84
2015-09-30,19.94,$2.27,8.78
2015-06-30,20.91,$2.59,8.07
2015-03-31,25.83,$2.37,10.91
2014-12-31,22.59,$1.59,14.17
2014-09-30,16.77,$1.77,9.49
2014-06-30,18.89,$0.76,24.78
2014-03-31,18.52,$-0.28,0.0
2013-12-31,20.45,$0.06,358.14
2013-09-30,19.72,$-0.91,0.0
2013-06-30,18.63,$-4.80,0.0
2013-03-31,13.65,$-4.21,0.0
2012-12-31,11.2,$-4.82,0.0
2012-09-30,11.27,$-5.25,0.0
2012-06-30,10.49,$-4.56,0.0
2012-03-31,11.71,$-4.12,0.0
2011-12-31,9.89,$-2.97,0.0
2011-09-30,7.63,$-2.19,0.0
2011-06-30,11.38,$0.80,14.28
2011-03-31,12.59,$0.58,21.62
2010-12-31,12.86,$1.73,7.42
2010-09-30,9.02,$1.82,4.97
2010-06-30,7.33,$1.28,5.74
2010-03-31,9.98,$-0.33,0.0
2009-12-31,8.02,$-2.28,0.0
