Daktronics Price to Free Cash Flow Ratio Historical Data,Daktronics Price to Free Cash Flow Ratio Historical Data,Daktronics Price to Free Cash Flow Ratio Historical Data,Daktronics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,12.67,,8.62
2025-01-31,16.41,$1.47,11.16
2024-10-31,13.03,$1.26,10.34
2024-07-31,14.98,$0.99,15.12
2024-04-30,9.45,$1.00,9.47
2024-01-31,7.58,$1.26,6.03
2023-10-31,9.62,$1.38,6.99
2023-07-31,7.19,$0.84,8.53
2023-04-30,4.81,$-0.21,0.0
2023-01-31,4.17,$-0.94,0.0
2022-10-31,3.42,$-1.59,0.0
2022-07-31,3.78,$-1.71,0.0
2022-04-30,3.35,$-1.03,0.0
2022-01-31,4.9,$-0.33,0.0
2021-10-31,5.55,$0.32,17.19
2021-07-31,6.11,$1.19,5.13
2021-04-30,6.17,$1.36,4.53
2021-01-31,4.8,$0.93,5.15
2020-10-31,3.9,$1.05,3.7
2020-07-31,4.17,$0.50,8.36
2020-04-30,4.52,$-0.15,0.0
2020-01-31,5.84,$-0.28,0.0
2019-10-31,6.74,$-0.44,0.0
2019-07-31,6.19,$0.09,70.0
2019-04-30,7.34,$0.29,25.59
2019-01-31,7.22,$0.32,22.55
2018-10-31,6.95,$0.53,13.18
2018-07-31,8.1,$0.19,42.56
2018-04-30,8.42,$0.32,26.22
2018-01-31,8.59,$0.23,37.35
2017-10-31,9.46,$0.55,17.33
2017-07-31,8.94,$0.40,22.4
2017-04-30,8.59,$0.70,12.23
2017-01-31,9.15,$1.04,8.76
2016-10-31,7.47,$0.60,12.56
2016-07-31,5.75,$0.41,13.96
2016-04-30,7.61,$-0.08,0.0
2016-01-31,6.93,$0.20,35.53
2015-10-31,8.28,$-0.27,0.0
2015-07-31,9.64,$-0.04,0.0
2015-04-30,8.97,$0.80,11.17
2015-01-31,10.26,$0.20,51.44
2014-10-31,10.94,$0.58,18.97
2014-07-31,9.05,$1.17,7.74
2014-04-30,10.54,$0.52,20.12
2014-01-31,11.75,$1.03,11.4
2013-10-31,9.56,$0.84,11.36
2013-07-31,8.63,$0.42,20.69
2013-04-30,7.83,$0.97,8.09
2013-01-31,9.3,$0.81,11.46
2012-10-31,6.47,$0.43,15.17
2012-07-31,5.7,$0.24,23.83
2012-04-30,5.9,$0.09,66.7
2012-01-31,7.93,$-0.09,0.0
2011-10-31,6.96,$0.53,13.23
2011-07-31,6.84,$0.68,10.03
2011-04-30,7.3,$0.76,9.59
2011-01-31,10.4,$0.83,12.51
2010-10-31,7.44,$0.71,10.42
2010-07-31,5.51,$0.88,6.29
2010-04-30,5.35,$0.68,7.86
2010-01-31,4.99,$1.07,4.66
2009-10-31,4.8,$1.31,3.66
