Forafric Global Price to Free Cash Flow Ratio Historical Data,Forafric Global Price to Free Cash Flow Ratio Historical Data,Forafric Global Price to Free Cash Flow Ratio Historical Data,Forafric Global Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.5,,0.0
2022-12-31,11.1,$-1.30,0.0
2022-03-31,10.23,$-1.57,0.0
2021-12-31,10.12,$-1.48,0.0
