Astronics Price to Free Cash Flow Ratio Historical Data,Astronics Price to Free Cash Flow Ratio Historical Data,Astronics Price to Free Cash Flow Ratio Historical Data,Astronics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,25.0,,39.57
2024-12-31,15.96,$0.63,25.26
2024-09-30,19.48,$-0.13,0.0
2024-06-30,20.03,$-0.40,0.0
2024-03-31,19.04,$-0.30,0.0
2023-12-31,17.42,$-0.95,0.0
2023-09-30,15.86,$-0.63,0.0
2023-06-30,19.86,$-1.48,0.0
2023-03-31,13.36,$-1.73,0.0
2022-12-31,10.3,$-1.12,0.0
2022-09-30,7.86,$-0.97,0.0
2022-06-30,10.17,$-0.58,0.0
2022-03-31,12.93,$-0.12,0.0
2021-12-31,12.0,$-0.37,0.0
2021-09-30,14.06,$-0.67,0.0
2021-06-30,17.51,$-0.50,0.0
2021-03-31,18.04,$0.02,798.23
2020-12-31,13.23,$0.97,13.64
2020-09-30,7.72,$1.18,6.53
2020-06-30,10.56,$2.15,4.9
2020-03-31,9.18,$1.37,6.7
2019-12-31,27.95,$0.94,29.64
2019-09-30,29.38,$1.73,16.97
2019-06-30,40.22,$1.24,32.44
2019-03-31,32.72,$1.56,20.91
2018-12-31,30.45,$1.16,26.16
2018-09-30,43.5,$0.43,100.62
2018-06-30,35.97,$0.75,47.97
2018-03-31,37.3,$0.44,85.2
2017-12-31,41.47,$0.72,57.53
2017-09-30,29.75,$0.90,32.97
2017-06-30,30.47,$0.43,70.99
2017-03-31,31.73,$1.22,26.02
2016-12-31,33.84,$1.04,32.63
2016-09-30,45.05,$1.59,28.33
2016-06-30,33.26,$2.22,14.96
2016-03-31,38.15,$1.17,32.64
2015-12-31,40.71,$1.98,20.52
2015-09-30,40.43,$1.40,28.98
2015-06-30,70.89,$2.29,30.96
2015-03-31,73.7,$3.35,21.98
2014-12-31,55.31,$1.97,28.1
2014-09-30,47.68,$1.84,25.98
2014-06-30,56.45,$0.94,59.98
2014-03-31,63.41,$0.37,173.39
2013-12-31,51.0,$1.68,30.27
2013-09-30,41.39,$1.31,31.63
2013-06-30,34.03,$0.80,42.72
2013-03-31,24.83,$0.82,30.23
2012-12-31,19.05,$0.34,55.66
2012-09-30,22.3,$1.12,19.84
2012-06-30,20.45,$1.36,15.07
2012-03-31,25.31,$1.30,19.46
2011-12-31,25.93,$0.76,33.9
2011-09-30,20.46,$-0.06,0.0
2011-06-30,20.27,$0.08,253.44
2011-03-31,16.57,$0.52,32.04
2010-12-31,13.82,$0.91,15.25
2010-09-30,11.49,$1.33,8.63
2010-06-30,10.77,$2.27,4.74
2010-03-31,6.46,$2.34,2.76
2009-12-31,5.63,$2.46,2.29
