Candel Therapeutics Price to Free Cash Flow Ratio Historical Data,Candel Therapeutics Price to Free Cash Flow Ratio Historical Data,Candel Therapeutics Price to Free Cash Flow Ratio Historical Data,Candel Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.25,,0.0
2024-12-31,8.68,$-0.85,0.0
2024-09-30,6.93,$-0.92,0.0
2024-06-30,6.2,$-1.06,0.0
2024-03-31,1.58,$-1.11,0.0
2023-12-31,1.47,$-1.19,0.0
2023-09-30,0.92,$-1.19,0.0
2023-06-30,1.26,$-1.21,0.0
2023-03-31,1.35,$-1.22,0.0
2022-12-31,1.79,$-1.14,0.0
2022-09-30,3.14,$-1.37,0.0
2022-06-30,3.24,$-1.83,0.0
